signal_name,signal_idx,entry_idx,exit_idx,signal_time,entry_time,exit_time,entry_price,exit_price,gross_return,net_return,holding_bars,exit_reason,win,sample_split,holding_bars_config,holding_minutes,cost_label,round_trip_cost,equity_curve,running_max,drawdown
dhv_score4_buy60_signal,3095,3096,3102,2026-03-20 17:55:00+00:00,2026-03-20 18:00:00+00:00,2026-03-20 18:30:00+00:00,69951.44,69691.88,-0.003710574078246265,-0.0049105740782462645,6,fixed_6b_exit,False,in_sample,6,30,base_cost,0.0012000000000000001,0.9950894259217538,0.9950894259217538,0.0
dhv_score4_buy60_signal,3721,3722,3728,2026-03-22 22:05:00+00:00,2026-03-22 22:10:00+00:00,2026-03-22 22:40:00+00:00,67912.81,68135.8,0.0032834747965810873,0.002083474796581087,6,fixed_6b_exit,True,in_sample,6,30,base_cost,0.0012000000000000001,0.997162669661006,0.997162669661006,0.0
dhv_score4_buy60_signal,7460,7461,7467,2026-04-04 21:40:00+00:00,2026-04-04 21:45:00+00:00,2026-04-04 22:15:00+00:00,67357.97,67440.44,0.001224353999979444,2.435399997944383e-05,6,fixed_6b_exit,True,in_sample,6,30,base_cost,0.0012000000000000001,0.9971869545606423,0.9971869545606423,0.0
dhv_score4_buy60_signal,9797,9798,9804,2026-04-13 00:25:00+00:00,2026-04-13 00:30:00+00:00,2026-04-13 01:00:00+00:00,71084.77,71173.99,0.0012551211743387913,5.512117433879122e-05,6,fixed_6b_exit,True,in_sample,6,30,base_cost,0.0012000000000000001,0.997241920676613,0.997241920676613,0.0
dhv_score4_buy60_signal,11808,11809,11815,2026-04-20 00:00:00+00:00,2026-04-20 00:05:00+00:00,2026-04-20 00:35:00+00:00,74071.14,74155.88,0.0011440353152389893,-5.596468476101084e-05,6,fixed_6b_exit,False,in_sample,6,30,base_cost,0.0012000000000000001,0.9971861103468919,0.997241920676613,-5.596468476098959e-05
dhv_score4_buy60_signal,12815,12816,12822,2026-04-23 11:55:00+00:00,2026-04-23 12:00:00+00:00,2026-04-23 12:30:00+00:00,77768.87,77761.34,-9.682537498612032e-05,-0.0012968253749861204,6,fixed_6b_exit,False,in_sample,6,30,base_cost,0.0012000000000000001,0.9958929340954104,0.997241920676613,-0.0013527174833237732
dhv_score4_buy60_signal,14204,14205,14211,2026-04-28 07:40:00+00:00,2026-04-28 07:45:00+00:00,2026-04-28 08:15:00+00:00,76777.4,76886.68,0.001423335512794166,0.00022333551279416592,6,fixed_6b_exit,True,in_sample,6,30,base_cost,0.0012000000000000001,0.9961153523545345,0.997241920676613,-0.0011296840803824981
dhv_score4_buy60_signal,15857,15858,15864,2026-05-04 01:25:00+00:00,2026-05-04 01:30:00+00:00,2026-05-04 02:00:00+00:00,78949.6,79730.01,0.009884913919766314,0.008684913919766314,6,fixed_6b_exit,True,in_sample,6,30,base_cost,0.0012000000000000001,1.0047665284438914,1.0047665284438914,0.0
dhv_score4_buy60_signal,16920,16921,16927,2026-05-07 18:00:00+00:00,2026-05-07 18:05:00+00:00,2026-05-07 18:35:00+00:00,80118.43,80235.54,0.0014617111194015209,0.00026171111940152076,6,fixed_6b_exit,True,in_sample,6,30,base_cost,0.0012000000000000001,1.0050294870167875,1.0050294870167875,0.0
dhv_score4_buy60_signal,4234,4235,4241,2026-05-22 16:50:00+00:00,2026-05-22 16:55:00+00:00,2026-05-22 17:25:00+00:00,76950.68,77060.14,0.0014224695610227656,0.00022246956102276545,6,fixed_6b_exit,True,out_of_sample,6,30,base_cost,0.0012000000000000001,1.0002224695610227,1.0002224695610227,0.0
dhv_score4_buy60_signal,5656,5657,5663,2026-05-27 15:20:00+00:00,2026-05-27 15:25:00+00:00,2026-05-27 15:55:00+00:00,75352.89,75326.01,-0.00035672155374533165,-0.0015567215537453318,6,fixed_6b_exit,False,out_of_sample,6,30,base_cost,0.0012000000000000001,0.9986654016841167,1.0002224695610227,-0.0015567215537453105
dhv_score4_buy60_signal,6228,6229,6235,2026-05-29 15:00:00+00:00,2026-05-29 15:05:00+00:00,2026-05-29 15:35:00+00:00,73663.04,74110.93,0.006080254086717085,0.0048802540867170854,6,fixed_6b_exit,True,out_of_sample,6,30,base_cost,0.0012000000000000001,1.0035391425919484,1.0035391425919484,0.0
dhv_score4_buy60_signal,7019,7020,7026,2026-06-01 08:55:00+00:00,2026-06-01 09:00:00+00:00,2026-06-01 09:30:00+00:00,72966.16,72993.64,0.0003766129394775497,-0.0008233870605224504,6,fixed_6b_exit,False,out_of_sample,6,30,base_cost,0.0012000000000000001,1.0027128414472104,1.0035391425919484,-0.0008233870605224292
dhv_score4_buy60_signal,8154,8155,8161,2026-06-05 07:30:00+00:00,2026-06-05 07:35:00+00:00,2026-06-05 08:05:00+00:00,62768.0,62761.78,-9.909508029570802e-05,-0.0012990950802957081,6,fixed_6b_exit,False,out_of_sample,6,30,base_cost,0.0012000000000000001,1.001410222127937,1.0035391425919484,-0.0021214124827385605
