sample_split,signal_name,holding_bars,holding_minutes,cost_label,trades,win_rate,avg_net_return,median_net_return,std_net_return,best_trade,worst_trade,profit_factor,max_drawdown,total_return
out_of_sample,dhv_score4_buy60_signal,6,30,base_cost,5,0.4,0.00028470399063527214,-0.0008233870605224504,0.0026575405509635134,0.0048802540867170854,-0.0015567215537453318,1.3869097966170778,-0.0021214124827385605,0.0014102221279370664
out_of_sample,dhv_score4_buy60_cvdpos_signal,6,30,base_cost,5,0.4,0.00028470399063527214,-0.0008233870605224504,0.0026575405509635134,0.0048802540867170854,-0.0015567215537453318,1.3869097966170778,-0.0021214124827385605,0.0014102221279370664
out_of_sample,dhv_score4_signal,6,30,base_cost,7,0.42857142857142855,3.0461708541146492e-05,-0.0008233870605224504,0.0023761515131581652,0.0048802540867170854,-0.0021043611333631186,1.036868603730075,-0.0036578067827752747,0.00019634325360673444
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,base_cost,16,0.4375,-0.0004766925276187553,-0.0006625903322065242,0.002927415100383023,0.005655861014921194,-0.006211121513995742,0.6394929516055995,-0.015508068284549092,-0.007663667766809046
out_of_sample,dhv_cvd_positive_signal,6,30,base_cost,15,0.4,-0.0005400371448507568,-0.0006850910041039872,0.0030187908864017735,0.005655861014921194,-0.006211121513995742,0.6171132612343646,-0.01597398170677289,-0.00813329357241832
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,base_cost,17,0.23529411764705882,-0.0006505706801940047,-0.0008214683628685816,0.0020667159450498424,0.0052723286611245715,-0.004094955425623235,0.4228003073914153,-0.01672264767100029,-0.011036115142409542
out_of_sample,dhv_cvd_positive_signal,3,15,base_cost,16,0.1875,-0.000736871687413661,-0.0008368738220532403,0.002102620869200367,0.0052723286611245715,-0.004094955425623235,0.3846892030018932,-0.017440157510906995,-0.011757774516559572
out_of_sample,dhv_buy60_signal,6,30,base_cost,11,0.36363636363636365,-0.0007780624804038072,-0.0008233870605224504,0.0028442551055740672,0.0048802540867170854,-0.006211121513995742,0.4725369482825216,-0.012689312953474419,-0.008565624635348268
out_of_sample,dhv_buy60_cvdpos_signal,6,30,base_cost,11,0.36363636363636365,-0.0007780624804038072,-0.0008233870605224504,0.0028442551055740672,0.0048802540867170854,-0.006211121513995742,0.4725369482825216,-0.012689312953474419,-0.008565624635348268
out_of_sample,downtrend_highvol_forced_cover_signal,12,60,base_cost,15,0.4,-0.0009373579739940116,-0.0004645453006285817,0.0036088732153690987,0.004779192938209366,-0.007224382165092268,0.519741493922413,-0.020847169087614525,-0.014058589637311325
out_of_sample,dhv_buy60_signal,3,15,base_cost,12,0.16666666666666666,-0.000945672472668508,-0.0009321123940764444,0.0013325793419367129,0.0015485342849860038,-0.0031423409924747005,0.17333907559529993,-0.012558498861411582,-0.011298904850725155
out_of_sample,dhv_buy60_cvdpos_signal,3,15,base_cost,12,0.16666666666666666,-0.000945672472668508,-0.0009321123940764444,0.0013325793419367129,0.0015485342849860038,-0.0031423409924747005,0.17333907559529993,-0.012558498861411582,-0.011298904850725155
out_of_sample,dhv_score4_signal,3,15,base_cost,7,0.14285714285714285,-0.0009835783634413386,-0.0008522792812378989,0.001456079259128112,0.0015485342849860038,-0.003202312054653843,0.1836152340435102,-0.007924333692121421,-0.0068710937110800785
out_of_sample,dhv_score4_buy60_signal,3,15,base_cost,5,0.2,-0.0011093281274757272,-0.001042756425284307,0.0017590651030172611,0.0015485342849860038,-0.003202312054653843,0.2182517417724096,-0.006041630441391832,-0.005540513292992433
out_of_sample,dhv_score4_buy60_cvdpos_signal,3,15,base_cost,5,0.2,-0.0011093281274757272,-0.001042756425284307,0.0017590651030172611,0.0015485342849860038,-0.003202312054653843,0.2182517417724096,-0.006041630441391832,-0.005540513292992433
out_of_sample,dhv_cvd_positive_signal,12,60,base_cost,14,0.35714285714285715,-0.0012084376548493847,-0.0006139041943790326,0.003583121133831855,0.004779192938209366,-0.007224382165092268,0.42212938175143294,-0.023637376753527395,-0.01686814213461818
out_of_sample,dhv_score4_signal,12,60,base_cost,7,0.42857142857142855,-0.001407715489677827,-0.00370814898303553,0.003804178688072426,0.004779192938209366,-0.004939007137394834,0.4216297941575889,-0.014565124643364014,-0.009855541245994415
out_of_sample,dhv_buy60_signal,12,60,base_cost,11,0.2727272727272727,-0.0026159600647942542,-0.00370814898303553,0.003238109615856845,0.0022658450026869846,-0.007224382165092268,0.1396362994634393,-0.02808776049855366,-0.02845329708966926
out_of_sample,dhv_buy60_cvdpos_signal,12,60,base_cost,11,0.2727272727272727,-0.0026159600647942542,-0.00370814898303553,0.003238109615856845,0.0022658450026869846,-0.007224382165092268,0.1396362994634393,-0.02808776049855366,-0.02845329708966926
out_of_sample,dhv_score4_buy60_signal,12,60,base_cost,5,0.2,-0.003004119865980258,-0.0038079041796640557,0.0028542884435035633,0.0020169457030282177,-0.004939007137394834,0.11838241361240384,-0.011181405815937628,-0.014946732273660612
out_of_sample,dhv_score4_buy60_cvdpos_signal,12,60,base_cost,5,0.2,-0.003004119865980258,-0.0038079041796640557,0.0028542884435035633,0.0020169457030282177,-0.004939007137394834,0.11838241361240384,-0.011181405815937628,-0.014946732273660612
