sample_split,rows,start_time,end_time
in_sample,16992,2026-03-10 00:00:00+00:00,2026-05-07 23:55:00+00:00
out_of_sample,8847,2026-05-08 00:00:00+00:00,2026-06-07 17:10:00+00:00
