open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,return_5m,return_15m,return_30m,return_60m,return_3h,return_6h,return_24h,rolling_high_12,rolling_high_24,rolling_low_12,rolling_low_24,ma_1h,ma_3h,ma_6h,above_ma_6h,trend_up_6h,distance_to_rolling_high_12,distance_to_rolling_high_24,near_rolling_high_12,near_rolling_high_24,candle_range,candle_body,upper_wick,lower_wick,upper_wick_ratio,lower_wick_ratio,taker_sell_base_volume,buy_aggression_ratio,sell_aggression_ratio,volume_delta,cvd,cvd_15m,cvd_30m,cvd_60m,cvd_slope_15m,cvd_slope_30m,cvd_slope_improving,volume_15m,volume_30m,volume_60m,taker_buy_volume_15m,taker_buy_volume_30m,taker_sell_volume_15m,taker_sell_volume_30m,avg_volume_15m,avg_taker_buy_volume_15m,avg_number_of_trades,volume_shock_15m,taker_buy_volume_shock_15m,number_of_trades_shock,buy_aggression_ratio_15m,sell_aggression_ratio_15m,buy_aggression_ratio_30m,sell_aggression_ratio_30m,buy_aggression_improving,sell_aggression_improving,rolling_vol_1h,rolling_vol_3h,rolling_vol_6h,vol_expansion,vol_percentile,extreme_vol_flag,high_vol_flag,low_vol_flag,sell_absorption_signal,sell_aggression_absorption_signal,short_build_up,squeeze_trigger_12,squeeze_trigger_24,forced_cover_score,short_build_up_recent,long_signal,simple_breakout_signal,breakout_forced_cover_signal,current_short_squeeze_signal,trend_filtered_short_squeeze_signal,early_squeeze_candidate_signal
2026-06-04 03:05:00+00:00,63714.04,64029.36,63652.36,63813.08,309.98256,2026-06-04 03:09:59.999000+00:00,19791967.8129337,42975,155.80256,9949030.9689055,,,,,,,,,,,,,,,False,False,,,False,False,377.0,99.04000000000087,216.27999999999884,61.68000000000029,0.5736870026525168,0.1636074270557037,154.17999999999998,0.5026171794955174,0.4973828205044825,1.6225600000000213,1.6225600000000213,,,,,,False,,,,,,,,,,,,,,,,,,False,False,,,,False,,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False
2026-06-04 03:10:00+00:00,63813.09,63977.0,63705.61,63960.77,225.02482,2026-06-04 03:14:59.999000+00:00,14368196.8326834,28729,146.51447,9356338.7351333,0.002314415790618307,,,,,,,,,,,,,,False,False,,,False,False,271.3899999999994,147.6800000000003,16.2300000000032,107.47999999999593,0.05980323519659249,0.3960352260584257,78.51035000000002,0.6511035982608495,0.34889640173915043,68.00411999999997,69.62668,,,,,,False,,,,,,,,,,,,,,,,,,False,False,,,,False,,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False
2026-06-04 03:15:00+00:00,63960.77,64142.85,63956.0,64075.99,313.29663,2026-06-04 03:19:59.999000+00:00,20060726.1314331,29716,157.68496,10096843.0969413,0.0018014167121502833,,,,,,,,,,,,,,False,False,,,False,False,186.84999999999854,115.22000000000116,66.86000000000058,4.769999999996799,0.35782713406476374,0.025528498795808593,155.61167,0.5033088290799681,0.49669117092003195,2.073289999999986,71.69996999999998,71.69996999999998,,,,,False,848.30401,,,460.00199,,388.30201999999997,,,,,,,,0.542260775119995,0.45773922488000496,,,False,False,,,,False,,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False
2026-06-04 03:20:00+00:00,64075.99,64075.99,63884.35,63907.72,125.24504,2026-06-04 03:24:59.999000+00:00,8010137.8893151,23891,41.60453,2660531.2523233,-0.002626100665787612,0.001483081524978891,,,,,,,,,,,,,False,False,,,False,False,191.63999999999942,168.2699999999968,0.0,23.37000000000262,0.0,0.121947401377597,83.64051,0.332185051000822,0.6678149489991779,-42.03598000000001,29.66398999999997,28.04142999999995,,,-43.65854000000003,,False,663.5664899999999,,,345.80396,,317.76253,,,,,,,,0.5211293294813607,0.47887067051863946,,,False,True,,,,False,,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False
2026-06-04 03:25:00+00:00,63907.73,64015.99,63900.0,63919.99,84.4996,2026-06-04 03:29:59.999000+00:00,5404225.6634786,18337,40.96489,2619917.5653459,0.00019199558363203195,-0.0006375783155830872,,,,,,,,,,,,,False,False,,,False,False,115.98999999999796,12.259999999994761,96.0,7.730000000003201,0.8276575566859358,0.06664367617900972,43.534710000000004,0.4847938925154675,0.5152061074845325,-2.569820000000007,27.094169999999963,-42.53251000000003,,,-70.57393999999998,,False,523.0412699999999,,,240.25437999999997,,282.78689,,,,,,,,0.4593411529457322,0.5406588470542679,,,False,True,,,,False,,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False
2026-06-04 03:30:00+00:00,63920.0,64505.06,63903.98,64454.0,328.99459,2026-06-04 03:34:59.999000+00:00,21169759.0488337,45317,200.61634,12905747.2463549,0.008354350493484208,0.005899401632343038,,,,,,,,,,,,,False,False,,,False,False,601.0799999999945,534.0,51.05999999999767,16.0199999999968,0.08494709522858544,0.026652026352560303,128.37825,0.6097861366048603,0.39021386339513975,72.23809,99.33225999999996,27.632289999999983,99.33225999999996,,70.16480000000001,,True,538.73923,1387.04324,,283.18576,743.18775,255.55347,643.85549,,,,,,,0.5256453293739162,0.4743546706260838,0.5358071966090978,0.46419280339090224,True,False,,,,False,,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False
2026-06-04 03:35:00+00:00,64454.01,64484.0,64237.69,64484.0,255.95774,2026-06-04 03:39:59.999000+00:00,16471271.7876008,26778,183.05543,11779991.6929417,0.00046544822664218444,0.00901737693036142,0.010513831960469622,,,,,,,,,,,,False,False,,,False,False,246.30999999999767,29.989999999997963,0.0,216.3199999999997,0.0,0.8782428646827241,72.90231,0.7151783337358737,0.28482166626412625,110.15312,209.48537999999996,179.82139,207.86281999999994,,152.18910000000002,108.53055999999998,True,669.45193,1333.01842,,424.63666,770.4406200000001,244.81527,562.5778,,,,,,,0.6343049306019628,0.3656950693980373,0.5779669721293124,0.42203302787068764,True,False,,,,False,,False,False,False,False,False,False,False,False,3,False,False,False,False,False,False,False
2026-06-04 03:40:00+00:00,64484.0,64540.3,64369.13,64389.18,170.43988,2026-06-04 03:44:59.999000+00:00,10984673.3140907,28246,76.19692,4910913.4937456,-0.0014704422802556127,0.007340270234710733,0.006698011921995262,,,,,,,,,,,,False,False,,,False,False,171.17000000000553,94.81999999999971,56.30000000000291,20.05000000000291,0.32891277677163694,0.11713501197641095,94.24295999999998,0.44706039455085284,0.5529396054491472,-18.046039999999977,191.43934,164.34517,121.81266,,-15.476220000000012,-86.05015999999995,False,755.39221,1278.43348,,459.86869,700.12307,295.52351999999996,578.31041,,,,,,,0.6087813508164189,0.391218649183581,0.5476413759126522,0.45235862408734795,False,True,,,,False,,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False
2026-06-04 03:45:00+00:00,64389.17,64442.0,64334.29,64377.29,108.60616,2026-06-04 03:49:59.999000+00:00,6991485.0166685,19817,60.58675,3900174.5003633,-0.00018465835408987274,-0.0011901511155242295,0.004702229337385289,,,,,,,,,,,,False,False,,,False,False,107.70999999999913,11.87999999999738,52.830000000001746,43.0,0.4904837062482794,0.3992201281218118,48.01941,0.557857399617112,0.44214260038288805,12.567340000000002,204.00668,104.67442000000003,132.30671,,-59.67074999999997,10.494050000000016,False,535.00378,1073.74301,,319.83910000000003,603.02486,215.16467999999998,470.71815000000004,,,,,,,0.5978258695667534,0.4021741304332466,0.5616100448467646,0.4383899551532355,False,True,,,,False,,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False
2026-06-04 03:50:00+00:00,64377.3,64458.0,64333.73,64391.99,81.37551,2026-06-04 03:54:59.999000+00:00,5239069.3628575,17531,31.83497,2049618.092997,0.00022834139181693303,-0.0014268655790583562,0.007577644766547653,,,,,,,,,,,,False,False,,,False,False,124.2699999999968,14.689999999995052,66.01000000000204,43.56999999999971,0.5311821034843787,0.3506075480807985,49.54054000000001,0.3912106971741252,0.6087893028258748,-17.70557000000001,186.30111,-23.184269999999984,156.63711999999998,,-127.85869000000001,24.330409999999972,False,360.42155,1029.87348,,168.61864,593.2553,191.80291,436.61818,,,,,,,0.4678372866439312,0.5321627133560687,0.5760467780954998,0.42395322190450035,False,True,,,,False,,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False
