open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,return_5m,return_15m,return_30m,return_60m,return_3h,return_6h,return_24h,rolling_high_12,rolling_high_24,rolling_low_12,rolling_low_24,ma_1h,ma_3h,ma_6h,above_ma_6h,trend_up_6h,distance_to_rolling_high_12,distance_to_rolling_high_24,near_rolling_high_12,near_rolling_high_24,candle_range,candle_body,upper_wick,lower_wick,upper_wick_ratio,lower_wick_ratio,taker_sell_base_volume,buy_aggression_ratio,sell_aggression_ratio,volume_delta,cvd,cvd_15m,cvd_30m,cvd_60m,cvd_slope_15m,cvd_slope_30m,cvd_slope_improving,volume_15m,volume_30m,volume_60m,taker_buy_volume_15m,taker_buy_volume_30m,taker_sell_volume_15m,taker_sell_volume_30m,avg_volume_15m,avg_taker_buy_volume_15m,avg_number_of_trades,volume_shock_15m,taker_buy_volume_shock_15m,number_of_trades_shock,buy_aggression_ratio_15m,sell_aggression_ratio_15m,buy_aggression_ratio_30m,sell_aggression_ratio_30m,buy_aggression_improving,sell_aggression_improving,rolling_vol_1h,rolling_vol_3h,rolling_vol_6h,vol_expansion,vol_percentile,extreme_vol_flag,high_vol_flag,low_vol_flag,sell_absorption_signal,sell_aggression_absorption_signal,short_build_up,squeeze_trigger_12,squeeze_trigger_24,forced_cover_score,short_build_up_recent,long_signal,simple_breakout_signal,breakout_forced_cover_signal,current_short_squeeze_signal,trend_filtered_short_squeeze_signal,early_squeeze_candidate_signal,trend_regime,volatility_regime,downtrend_forced_cover_signal,downtrend_normalvol_forced_cover_signal,downtrend_highvol_forced_cover_signal,sample_split
2026-05-01 00:00:00+00:00,76346.58,76490.4,76320.42,76490.4,140.67162,2026-05-01 00:04:59.999000+00:00,10744914.9471144,10404,123.92822,9466054.5168199,,,,,,,,,,,,,,,False,False,,,False,False,169.97999999999593,143.81999999999243,0.0,26.160000000003492,0.0,0.15390045887753923,16.743399999999994,0.8809752812969667,0.11902471870303331,107.18482,107.18482,,,,,,False,,,,,,,,,,,,,,,,,,False,False,,,,False,,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,trend_down,normal_vol,False,False,False,in_sample
2026-05-01 00:05:00+00:00,76490.39,76514.0,76452.15,76506.43,34.10593,2026-05-01 00:09:59.999000+00:00,2608291.8392421,8161,21.11514,1614789.9333051,0.00020956878248767907,,,,,,,,,,,,,,False,False,,,False,False,61.85000000000582,16.039999999993597,7.570000000006985,38.24000000000524,0.12239288601465274,0.6182700080841009,12.99079,0.6191046542346155,0.3808953457653845,8.12435,115.30917,,,,,,False,,,,,,,,,,,,,,,,,,False,False,,,,False,,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,trend_down,normal_vol,False,False,False,in_sample
2026-05-01 00:10:00+00:00,76506.43,76506.44,76456.38,76469.81,12.09078,2026-05-01 00:14:59.999000+00:00,924733.532883,4830,3.91455,299391.3727994,-0.00047865257861323673,,,,,,,,,,,,,,False,False,,,False,False,50.05999999999767,36.61999999999534,0.010000000009313226,13.429999999993015,0.00019976028784086478,0.26827806632028844,8.17623,0.32376323115630257,0.6762367688436974,-4.26168,111.04749,111.04749,,,,,False,186.86833,,,148.95791,,37.910419999999995,,,,,,,,0.7971276352713165,0.20287236472868356,,,False,False,,,,False,,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,trend_down,normal_vol,False,False,False,in_sample
2026-05-01 00:15:00+00:00,76469.8,76578.0,76469.8,76513.57,34.07917,2026-05-01 00:19:59.999000+00:00,2608383.4907746,9598,16.0105,1225345.3660474,0.0005722519776105717,0.00030291382970948355,,,,,,,,,,,,,False,False,,,False,False,108.19999999999709,43.770000000004075,64.42999999999302,0.0,0.5954713493530014,0.0,18.068669999999997,0.4698031084677239,0.5301968915322761,-2.058169999999997,108.98931999999999,1.8045000000000027,,,-109.24298999999999,,False,80.27588,,,41.04019,,39.23569,,,,,,,,0.5112393660461897,0.48876063395381025,,,False,True,,,,False,,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,trend_down,normal_vol,False,False,False,in_sample
2026-05-01 00:20:00+00:00,76513.57,76521.76,76474.12,76489.77,7.89406,2026-05-01 00:24:59.999000+00:00,603906.1399283,3945,1.96458,150283.8606939,-0.00031105593426106193,-0.00021775947459568012,,,,,,,,,,,,,False,False,,,False,False,47.63999999999942,23.80000000000291,8.189999999987776,15.650000000008731,0.17191435768236515,0.32850545759884386,5.92948,0.24886813629488502,0.751131863705115,-3.9649,105.02441999999999,-10.284749999999997,,,-12.08925,,True,54.064009999999996,,,21.889630000000004,,32.17438,,,,,,,,0.4048835815175383,0.5951164184824619,,,False,True,,,,False,,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,trend_down,normal_vol,False,False,False,in_sample
2026-05-01 00:25:00+00:00,76489.77,76531.82,76489.77,76531.81,14.49667,2026-05-01 00:29:59.999000+00:00,1109282.1215184,1893,8.55803,654852.9928965,0.0005496159813265233,0.0008107774819892111,,,,,,,,,,,,,False,False,,,False,False,42.05000000000291,42.0399999999936,0.010000000009313226,0.0,0.00023781212864001268,0.0,5.9386399999999995,0.590344541194633,0.40965545880536697,2.619390000000001,107.64380999999999,-3.403679999999996,107.64381,,6.881070000000001,,True,56.469899999999996,243.33822999999998,,26.533110000000004,175.49102,29.936789999999995,67.84720999999999,,,,,,,0.46986288270388304,0.530137117296117,0.7211814600607558,0.2788185399392442,True,False,,,,False,,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,trend_down,normal_vol,False,False,False,in_sample
2026-05-01 00:30:00+00:00,76531.82,76560.0,76482.71,76486.15,126.20671,2026-05-01 00:34:59.999000+00:00,9657676.8803395,4109,18.50126,1415982.1437374,-0.0005966146625828728,-0.0003583678032539339,-5.556252810812179e-05,,,,,,,,,,,,False,False,,,False,False,77.2899999999936,45.670000000012806,28.179999999993015,3.4399999999877764,0.36460085392670916,0.04450769827905371,107.70545,0.14659489974819878,0.8534051002518012,-89.20419,18.43961999999999,-90.5497,-88.7452,,-87.14602000000001,-196.38900999999998,False,148.59744,228.87332,,29.023870000000002,70.06406,119.57356999999999,158.80926,,,,,,,0.19531877534363984,0.80468122465636,0.3061259390129002,0.6938740609870997,False,True,,,,False,,False,False,False,True,True,True,False,False,0,False,False,False,False,False,False,False,trend_down,normal_vol,False,False,False,in_sample
2026-05-01 00:35:00+00:00,76486.14,76504.0,76458.0,76464.99,20.19431,2026-05-01 00:39:59.999000+00:00,1544414.2066448,4495,11.1076,849440.3869446,-0.0002766513937488835,-0.00032396489099129067,-0.0005416538191624909,,,,,,,,,,,,False,False,,,False,False,46.0,21.14999999999418,17.860000000000582,6.990000000005239,0.38826086956523004,0.15195652173924432,9.086710000000002,0.5500361240369193,0.44996387596308074,2.020889999999998,20.46050999999999,-84.56391,-94.84866000000001,,5.985789999999994,-6.1034600000000125,True,160.89769,214.9617,,38.16689,60.056520000000006,122.7308,154.90518,,,,,,,0.23721216880118043,0.7627878311988195,0.2793824202171829,0.7206175797828172,True,False,,,,False,,False,False,False,True,True,True,False,False,1,True,False,False,False,False,False,False,trend_down,normal_vol,False,False,False,in_sample
2026-05-01 00:40:00+00:00,76464.99,76529.96,76464.99,76528.37,56.9307,2026-05-01 00:44:59.999000+00:00,4355188.9448576,3489,54.19282,4145747.2923421,0.0008288760647192639,-4.4948629857377576e-05,0.0007657924087949297,,,,,,,,,,,,False,False,,,False,False,64.97000000000116,63.379999999990105,1.5900000000110595,0.0,0.024472833615684638,0.0,2.737880000000004,0.9519085484633071,0.04809145153669293,51.45493999999999,71.91544999999998,-35.72836000000001,-39.13204,,48.83555,55.716620000000006,True,203.33172000000002,259.80162,,83.80168,110.33479,119.53004,149.46683,,,,,,,0.4121426799517557,0.5878573200482443,0.4246886143358151,0.5753113856641847,True,False,,,,False,,False,False,False,True,True,True,False,False,1,True,False,False,False,False,False,False,trend_down,normal_vol,False,False,False,in_sample
2026-05-01 00:45:00+00:00,76528.37,76591.0,76490.14,76490.15,19.9465,2026-05-01 00:49:59.999000+00:00,1526576.0949521,6697,11.91958,912214.986657,-0.0004994226324172013,5.2297049857985556e-05,-0.00030608949497468174,,,,,,,,,,,,False,False,,,False,False,100.86000000000058,38.220000000001164,62.63000000000466,0.00999999999476131,0.6209597461828703,9.914733288480322e-05,8.02692,0.5975775198656406,0.40242248013435944,3.8926599999999993,75.80810999999997,57.36848999999999,-33.181210000000014,,93.09684999999999,5.950829999999989,True,97.07150999999999,245.66895,,77.22,106.24386999999999,19.851510000000005,139.42508,,,,,,,0.7954960214382161,0.20450397856178407,0.4324676358164106,0.5675323641835894,True,False,,,,False,,False,False,False,True,True,True,False,False,3,True,False,False,False,False,False,False,trend_down,normal_vol,False,False,False,in_sample
