sample_split,signal_name,holding_bars,holding_minutes,cost_label,trades,win_rate,avg_net_return,median_net_return,std_net_return,q10_net_return,q25_net_return,q75_net_return,q90_net_return,best_trade,worst_trade,profit_factor,max_drawdown,total_return
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,base_cost,16,0.3125,0.00011307050936692543,-0.0005228211962126965,0.003923254401993755,-0.0021462697997057015,-0.0019259436747250161,0.0002591945953514203,0.004947661351031774,0.009666652804212328,-0.006097018211179561,1.0967759551483198,-0.010585032088964219,0.0016954558004627085
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,base_cost,17,0.35294117647058826,-7.979081780368856e-05,-0.0006465208734683696,0.002684994866794388,-0.002681514345288582,-0.0016760964844267693,0.0009381046942215316,0.0019192422062195747,0.008387277307632468,-0.003029119462545115,0.914889797649012,-0.008669049092806191,-0.001412996085603857
out_of_sample,downtrend_highvol_forced_cover_signal,12,60,base_cost,15,0.4666666666666667,-0.00031658797987974495,-0.0011054699352992295,0.004247687083937551,-0.005016459367556103,-0.0033021506840037788,0.002619882814594044,0.005521393605471436,0.006790860712418878,-0.007109987715430454,0.8360399544234302,-0.01617970165421867,-0.004864010478784042
out_of_sample,downtrend_highvol_forced_cover_signal,9,45,base_cost,15,0.26666666666666666,-0.00042139012118590815,-0.0007193858928963064,0.0030669766468166383,-0.004210551054123867,-0.0015284790852824518,0.0007463111726539137,0.004015853448755413,0.0051477625772956784,-0.005629234016662909,0.6938272914292458,-0.013629055322383454,-0.0063676874779992065
out_of_sample,downtrend_highvol_forced_cover_signal,18,90,base_cost,15,0.4,-0.0008534733227350427,-0.0006375206245144753,0.004222526897364525,-0.004762039640819359,-0.003129637435661669,0.001164032919630654,0.0033661999197243113,0.007957157201760845,-0.009924855181952607,0.5808719382583739,-0.024475659081626633,-0.012849338479703487
out_of_sample,downtrend_highvol_forced_cover_signal,24,120,base_cost,15,0.4,-0.0013602780610761252,-0.002398242033934216,0.005877400288614002,-0.0072261448272023625,-0.0039009055448414928,0.00032543040927592926,0.0064027564536389,0.011044883667077255,-0.011150185200501128,0.5299380273891658,-0.03081781122632332,-0.020447923457912576
