sample_split,holding_bars,holding_minutes,base_cost,high_cost,low_cost,no_cost
in_sample,3,15,-0.0009471931001819722,-0.001547143678501091,-0.00034720253574576477,0.0002528280268033158
in_sample,6,30,-0.0016291804352813728,-0.0022289946297636993,-0.0010293262819560552,-0.0004294321578000496
in_sample,9,45,-0.0007947268011178948,-0.001394707869649648,-0.00019470574037166742,0.00040535532458674695
in_sample,12,60,-0.0007446429009019122,-0.0013446339852127428,-0.00014461182237361436,0.00045545926237033907
in_sample,18,90,-0.0009056723651073232,-0.0015056312467436447,-0.00030567349569344106,0.00029436537349431636
in_sample,24,120,-0.0005393354167913457,-0.0011393675584957105,6.0736727341162324e-05,0.0006608488859024586
out_of_sample,3,15,-7.979081780368856e-05,-0.0006799148592434395,0.0005203732444422152,0.001120577339500583
out_of_sample,6,30,0.00011307050936692543,-0.0004870921004837131,0.0007132731477366613,0.0013135158266340818
out_of_sample,9,45,-0.00042139012118590815,-0.0010214458495921678,0.00017870561436531188,0.0007788413690636098
out_of_sample,12,60,-0.00031658797987974495,-0.0009166646666196807,0.0002835287181964058,0.000883685439612177
out_of_sample,18,90,-0.0008534733227350427,-0.0014534426431365808,-0.0002534640124683736,0.00034658529966031805
out_of_sample,24,120,-0.0013602780610761252,-0.001960146030659059,-0.0007603701218963066,-0.00016042220112863308
