open_time,close,sample_split,trend_regime,volatility_regime,forced_cover_score,buy_aggression_ratio_15m,cvd_15m,cvd_slope_15m,volume_shock_15m,vol_percentile,downtrend_highvol_forced_cover_signal
2026-05-04 01:25:00+00:00,78605.69,in_sample,trend_down,high_vol,4,0.6687443949436331,33.08244999999995,9.808639999999997,1.2509199113545495,0.8680555555555556,True
2026-05-06 01:15:00+00:00,81287.59,in_sample,trend_down,high_vol,3,0.6651863353939748,42.08853999999991,17.0036,0.7030682702516919,0.8958333333333334,True
2026-05-07 17:55:00+00:00,80094.52,in_sample,trend_down,high_vol,3,0.6189537486851147,44.76761999999988,24.85457,1.1339530090682188,0.8784722222222222,True
2026-05-07 18:00:00+00:00,80140.0,in_sample,trend_down,high_vol,4,0.6270758013066865,52.95438999999989,8.18677000000001,1.253008739506143,0.8784722222222222,True
2026-05-08 03:40:00+00:00,79646.13,in_sample,trend_down,high_vol,3,0.6304708710788978,15.850759999999879,8.35204,0.3381161061942127,0.8090277777777778,True
2026-05-13 17:15:00+00:00,79300.0,in_sample,trend_down,high_vol,4,0.5148592605461588,6.578969999999888,6.329630000000002,1.5631600904157001,0.8506944444444444,True
2026-05-13 17:40:00+00:00,79430.61,in_sample,trend_down,high_vol,3,0.6538088297462873,31.68970999999989,20.30807,0.7241141098179714,0.8263888888888888,True
2026-05-13 18:05:00+00:00,79597.74,in_sample,trend_down,high_vol,3,0.6460493835505687,37.59474999999989,22.361250000000005,0.9007824944367341,0.7777777777777778,True
2026-05-18 16:10:00+00:00,76509.23,in_sample,trend_down,high_vol,3,0.42926045439166727,-54.29889000000012,26.859699999999982,2.05879247716657,0.8506944444444444,True
2026-05-22 16:50:00+00:00,76999.46,in_sample,trend_down,high_vol,5,0.7377154300753295,95.95592999999985,40.94180000000001,1.9293235085213059,0.8541666666666666,True
2026-05-24 16:00:00+00:00,76568.68,in_sample,trend_down,high_vol,4,0.5581474276006726,20.316409999999827,21.17819,1.5798074469660015,0.8611111111111112,True
2026-05-27 15:15:00+00:00,75221.08,out_of_sample,trend_down,high_vol,3,0.6234161388794356,43.24501999999979,40.585409999999996,0.9338172927908194,0.875,True
2026-05-27 15:20:00+00:00,75399.88,out_of_sample,trend_down,high_vol,4,0.6373533340514523,60.593719999999784,17.348699999999994,1.1748788711013545,0.8993055555555556,True
2026-05-27 15:30:00+00:00,75431.76,out_of_sample,trend_down,high_vol,3,0.6062564907842065,45.03895999999979,-5.602809999999991,1.1277821561340142,0.8923611111111112,True
2026-05-27 19:00:00+00:00,75051.9,out_of_sample,trend_down,high_vol,3,0.7019501613946663,57.10097999999979,1.5047599999999974,0.8838647108835984,0.7013888888888888,True
2026-05-29 15:00:00+00:00,73313.95,out_of_sample,trend_down,high_vol,5,0.6500951573594487,139.25828999999976,35.74498,3.0556042484304164,0.90625,True
2026-05-31 15:25:00+00:00,73748.67,out_of_sample,trend_down,high_vol,3,0.7170075872737713,28.465379999999723,20.5799,0.9683017889612707,0.8576388888888888,True
2026-05-31 17:30:00+00:00,73660.25,out_of_sample,trend_down,high_vol,3,0.7465909592783798,16.415209999999725,13.225670000000001,0.48749199542980287,0.8229166666666666,True
2026-05-31 17:35:00+00:00,73717.94,out_of_sample,trend_down,high_vol,3,0.6798366612580669,16.904379999999723,0.4891699999999979,0.6936581594320522,0.8368055555555556,True
2026-05-31 17:40:00+00:00,73724.96,out_of_sample,trend_down,high_vol,3,0.712838428280404,24.575469999999726,7.671090000000003,0.8536216453401109,0.8055555555555556,True
2026-06-01 08:55:00+00:00,72902.65,out_of_sample,trend_down,high_vol,4,0.7317682861651428,59.93055999999973,109.96245,1.305098098875777,0.7881944444444444,True
2026-06-01 09:00:00+00:00,72966.16,out_of_sample,trend_down,high_vol,3,0.7346681577265243,53.58591999999973,-6.344639999999998,1.1505425845086106,0.7881944444444444,True
2026-06-01 09:05:00+00:00,73015.03,out_of_sample,trend_down,high_vol,4,0.7990291068163772,64.65775999999973,11.071839999999995,1.0881425896733066,0.7881944444444444,True
2026-06-01 16:45:00+00:00,71379.77,out_of_sample,trend_down,high_vol,3,0.5819339098730052,133.02346999999975,-207.13461000000007,3.7104035686573327,0.9479166666666666,True
2026-06-02 04:30:00+00:00,71030.0,out_of_sample,trend_down,high_vol,3,0.6132697817007485,27.61560999999966,16.302759999999992,0.455231663738404,0.9270833333333334,True
2026-06-02 04:35:00+00:00,71037.99,out_of_sample,trend_down,high_vol,3,0.6617885944997017,39.595939999999665,11.980330000000006,0.4567833542586354,0.9097222222222222,True
2026-06-03 00:15:00+00:00,67085.72,out_of_sample,trend_down,high_vol,3,0.5548485860125352,50.51424999999954,109.22464,1.340674957209538,0.7881944444444444,True
2026-06-05 07:25:00+00:00,62252.95,out_of_sample,trend_down,high_vol,3,0.5833030952443384,86.53159999999971,52.9136,1.400571883689038,0.9236111111111112,True
2026-06-05 07:30:00+00:00,62445.84,out_of_sample,trend_down,high_vol,5,0.6044490651985407,137.45041999999972,50.91882000000001,1.7731912470729205,0.9236111111111112,True
