sample_split,signal_name,signal_time,entry_time,entry_price,trend_regime,volatility_regime,forced_cover_score,buy_aggression_ratio_15m,cvd_15m,cvd_slope_15m,volume_shock_15m,vol_percentile,ret_1b,mfe_1b,mae_1b,ret_2b,mfe_2b,mae_2b,ret_3b,mfe_3b,mae_3b,ret_6b,mfe_6b,mae_6b,ret_12b,mfe_12b,mae_12b
in_sample,breakout_forced_cover_signal,2026-05-01 03:15:00+00:00,2026-05-01 03:20:00+00:00,77240.71,trend_down,normal_vol,3,0.7869739978296629,151.45113,138.86171000000002,,,-0.0005494511896640963,0.002758001577147562,-0.0007061043328059347,-0.00013865745149166386,0.002758001577147562,-0.0008034623192875179,-0.0013039755848955892,0.002758001577147562,-0.0013754404898661532,-0.0011800771898654583,0.002758001577147562,-0.0020506025902662373,-0.0009782406194869253,0.002758001577147562,-0.0022336666765493396
in_sample,breakout_forced_cover_signal,2026-05-01 08:10:00+00:00,2026-05-01 08:15:00+00:00,77249.99,trend_up,normal_vol,3,0.7791722363635174,116.18608,110.87657,,0.3333333333333333,0.0030736573558129976,0.0032363758234790208,-0.00028789647739768665,0.0024691265332201784,0.0032363758234790208,-0.00028789647739768665,0.0021940455914621904,0.0032363758234790208,-0.00028789647739768665,0.0014476377278496155,0.0032363758234790208,-0.00028789647739768665,0.0010319742436213364,0.0032363758234790208,-0.00028789647739768665
in_sample,breakout_forced_cover_signal,2026-05-01 10:20:00+00:00,2026-05-01 10:25:00+00:00,77408.77,trend_up,normal_vol,3,0.6920287224066014,64.313,38.8061,,0.5955056179775281,-0.0012298348107068202,0.0,-0.0013718083881193444,-0.002005069968170403,0.0,-0.002005069968170403,-0.002038011972028575,0.0,-0.002038141156357365,-0.0013490719462407874,0.0,-0.002038141156357365,-0.00033768783562893034,0.0024703919207087477,-0.002038141156357365
in_sample,breakout_forced_cover_signal,2026-05-01 11:15:00+00:00,2026-05-01 11:20:00+00:00,77433.93,trend_up,normal_vol,3,0.8180452745725164,57.82064999999999,23.45736000000001,,0.51,-0.0006625002760416443,0.0021446670729485806,-0.0011299955975371256,-0.0007610358921469329,0.0021446670729485806,-0.0011299955975371256,-0.000818116812616787,0.0021446670729485806,-0.0011513040859477686,-0.00042371606348790003,0.0021446670729485806,-0.0011513040859477686,0.0042297995207012384,0.004520886386626621,-0.0011513040859477686
in_sample,breakout_forced_cover_signal,2026-05-01 12:15:00+00:00,2026-05-01 12:20:00+00:00,77691.14,trend_up,normal_vol,3,0.6419618867039846,64.64678,24.54444,,0.6160714285714286,0.0009254594539351846,0.0013944962063885402,-0.0002538255971015202,0.003287633570571824,0.005687392410511638,-0.0002538255971015202,0.00440307607791568,0.006166211488208173,-0.0002538255971015202,0.0033382184892640776,0.006166211488208173,-0.0002538255971015202,0.008354363187359493,0.009512796439851368,-0.0002538255971015202
in_sample,breakout_forced_cover_signal,2026-05-01 12:20:00+00:00,2026-05-01 12:25:00+00:00,77761.47,trend_up,normal_vol,3,0.6653953910072181,95.15220000000001,30.50542,,0.6460176991150443,0.002380227637157617,0.004777816057232487,-0.0001772085841483806,0.0034946613020561124,0.005256202075397898,-0.0001772085841483806,0.002541232823916495,0.005256202075397898,-0.0001772085841483806,0.0017301627656987062,0.005256202075397898,-0.0001772085841483806,0.00666371147561895,0.008599760266877698,-0.0001772085841483806
in_sample,breakout_forced_cover_signal,2026-05-01 12:30:00+00:00,2026-05-01 12:35:00+00:00,77946.55,trend_up,normal_vol,3,0.679921329103087,196.11955999999998,132.17230999999998,,0.6869565217391305,0.00016075118141856137,0.0028692738806270768,-7.197239646916653e-05,0.0005715455013723947,0.0028692738806270768,-7.197239646916653e-05,5.0547458482874674e-05,0.0028692738806270768,-7.197239646916653e-05,0.0032515871452938327,0.0035080449359208288,-0.0006485213264730838,0.0035076600567953697,0.007603928589527076,-0.0006485213264730838
in_sample,breakout_forced_cover_signal,2026-05-01 17:35:00+00:00,2026-05-01 17:40:00+00:00,78512.46,trend_up,high_vol,3,0.7373911477980973,74.10553999999998,25.792930000000013,,0.7954545454545454,-0.0006702120911764586,0.0005096006417324439,-0.0011692411624856236,5.107469565968081e-05,0.000664735253486981,-0.0011692411624856236,0.0005155869526951573,0.0009189624169207988,-0.0011692411624856236,0.00018977879434678435,0.001231014796887031,-0.0011692411624856236,-0.0010690022959414236,0.001412642018858934,-0.0012638758230223424
in_sample,breakout_forced_cover_signal,2026-05-01 21:55:00+00:00,2026-05-01 22:00:00+00:00,78200.0,trend_down,low_vol,3,0.7322119554585614,45.70058999999998,50.83796999999999,,0.14035087719298245,0.0009244245524295813,0.0010904092071610805,0.0,0.0010563938618926016,0.0014578005115088999,0.0,0.0020459079283887682,0.002046035805626678,0.0,0.0011675191815856412,0.002699872122762237,0.0,-0.0006861892583120976,0.002699872122762237,-0.0012787723785165905
in_sample,breakout_forced_cover_signal,2026-05-01 22:00:00+00:00,2026-05-01 22:05:00+00:00,78241.06,trend_down,low_vol,3,0.7736878070466209,53.73315999999998,8.03257,,0.15283842794759825,0.000531051087498069,0.0009322470835646524,-5.099624161519767e-05,0.001520045868499409,0.0015201736786285558,-5.099624161519767e-05,0.0021736668700553796,0.0021736668700553796,-5.099624161519767e-05,0.00017816732033026916,0.0021736668700553796,-5.099624161519767e-05,-0.0014857927538303173,0.0021736668700553796,-0.0018028896847767095
