signal_name,exit_label,no_cost,with_cost,cost_drag
early_squeeze_candidate_signal,fixed_6b,0.0002139858255142929,-0.0009860197676972223,0.0012000055932115151
early_squeeze_candidate_signal,fixed_12b,7.929703608442006e-05,-0.0011206546923842645,0.0011999517284686846
current_short_squeeze_signal,fixed_12b,4.8007793589751696e-05,-0.0011519314216845776,0.0011999392152743293
current_short_squeeze_signal,fixed_6b,-2.9164141680414234e-05,-0.0012290724943531692,0.001199908352672755
trend_filtered_short_squeeze_signal,fixed_12b,-0.0003064139719585625,-0.001506211446874735,0.0011997974749161726
trend_filtered_short_squeeze_signal,fixed_6b,-0.00034070788089674275,-0.001540491640992315,0.0011997837600955723
trend_filtered_short_squeeze_signal,adaptive,-0.00016439623345109055,-0.0013624086484005941,0.0011980124149495036
early_squeeze_candidate_signal,adaptive,-2.078866843933685e-05,-0.0012180817461596538,0.001197293077720317
current_short_squeeze_signal,adaptive,-7.629898939414648e-05,-0.0012703202514283017,0.0011940212620341552
