signal_name,volatility_regime,events,avg_return,median_return,win_rate,avg_mfe,avg_mae
breakout_forced_cover_signal,normal_vol,168,-0.00010012036891489715,-0.00010017022399100295,0.4642857142857143,0.0018451752441845434,-0.0019224415956802911
breakout_forced_cover_signal,high_vol,124,-0.00021199088526325488,-0.0005715800879933508,0.3790322580645161,0.0023865263020442042,-0.0026566774891533806
breakout_forced_cover_signal,low_vol,129,-0.0005844999268620838,-0.0004064567976649336,0.3488372093023256,0.0011083580472162431,-0.0017299941736249715
current_short_squeeze_signal,normal_vol,104,-4.701225176813531e-05,-0.000166854443427622,0.4519230769230769,0.0018691869654708947,-0.0019283234551345486
current_short_squeeze_signal,high_vol,70,-0.0002907219404404066,-0.0005715800879933508,0.4142857142857143,0.002196349958921059,-0.0026061732246226224
current_short_squeeze_signal,low_vol,75,-0.0004595188915512738,-0.00033848438961292526,0.36,0.0011812541718149872,-0.0016152765450004806
early_squeeze_candidate_signal,normal_vol,158,-0.00016198335672630587,-2.8620142173307883e-05,0.4810126582278481,0.0013609704947699114,-0.0016333413775198346
early_squeeze_candidate_signal,low_vol,190,-0.00018553055016292324,-0.0001344575332825615,0.4473684210526316,0.0010525240314106913,-0.0014096166750833126
early_squeeze_candidate_signal,high_vol,58,-0.0002043696772417734,-0.0005253101449785857,0.3620689655172414,0.0014447249209249328,-0.002148694032065851
simple_breakout_signal,normal_vol,292,-0.0003282778101692845,-0.000136321215537194,0.4520547945205479,0.0015151803345428141,-0.001959394952091933
simple_breakout_signal,high_vol,174,-0.0004173356011784003,-0.000609856938365072,0.3505747126436782,0.0022647360606996405,-0.002733795539114102
simple_breakout_signal,low_vol,258,-0.000458963910975559,-0.0002519673158220548,0.4069767441860465,0.0012687173775028677,-0.0018194196509529383
trend_filtered_short_squeeze_signal,normal_vol,69,-0.0003416746959549092,-0.0004499154857723342,0.37681159420289856,0.0014816188223881208,-0.0018213218723016269
trend_filtered_short_squeeze_signal,low_vol,51,-0.0005769052841504483,-0.0004977818362053021,0.3137254901960784,0.0013113777311123005,-0.0018430897584818583
trend_filtered_short_squeeze_signal,high_vol,36,-0.0006260644301656564,-0.0009852283742401435,0.3333333333333333,0.0018969123754055837,-0.0026384640372527327
