signal_name,trend_regime,events,avg_return,median_return,win_rate,avg_mfe,avg_mae
breakout_forced_cover_signal,trend_down,65,0.0005844298568949166,0.0001746709690699788,0.5230769230769231,0.002543915894014285,-0.0019033902847994922
breakout_forced_cover_signal,mixed_trend,81,-0.00036593616957257975,-0.00013795439729868963,0.43209876543209874,0.0014280846316066485,-0.001912468394134872
breakout_forced_cover_signal,trend_up,275,-0.0004612897937394391,-0.0005033649688088726,0.36727272727272725,0.0017013363719865925,-0.002170680497054683
current_short_squeeze_signal,trend_down,45,0.00040905663709485613,0.0005320022052848206,0.5111111111111111,0.0025862603261661023,-0.002264935082396831
current_short_squeeze_signal,mixed_trend,48,-5.3650678162570076e-05,8.746952291371901e-05,0.5416666666666666,0.0017281558582497487,-0.0018239153127556224
current_short_squeeze_signal,trend_up,156,-0.0004842054038367002,-0.0005511044382142116,0.34615384615384615,0.001521800054782748,-0.00201700956546465
early_squeeze_candidate_signal,trend_down,126,-5.635589863852514e-05,6.861681108394357e-05,0.5238095238095238,0.0013309633969116022,-0.001777638280350593
early_squeeze_candidate_signal,trend_up,205,-0.00020338033564969033,-0.0003443762533678063,0.4,0.001189117855332245,-0.0014650067004040887
early_squeeze_candidate_signal,mixed_trend,75,-0.0003187173884945856,-9.662693814405099e-05,0.4533333333333333,0.001164485349351351,-0.0016828075048902623
simple_breakout_signal,trend_down,151,-1.8981468862792555e-06,-0.00010920172199357925,0.46357615894039733,0.0016551210530565657,-0.001915657951632349
simple_breakout_signal,trend_up,425,-0.00047030910691493884,-0.00044540879973153924,0.3905882352941176,0.001676703090227434,-0.0021201037169864354
simple_breakout_signal,mixed_trend,148,-0.0005859338755911471,-0.00017570456165350024,0.4189189189189189,0.0013601602924714741,-0.002208956684775922
trend_filtered_short_squeeze_signal,trend_up,156,-0.0004842054038367002,-0.0005511044382142116,0.34615384615384615,0.001521800054782748,-0.00201700956546465
