signal_name,forced_cover_bucket,events,avg_return,median_return,win_rate,avg_mfe,avg_mae,breakeven_cost,avg_return_minus_cost,cost_beating_avg,enough_events,candidate_bucket,bucket_type,buy_aggression_bucket,volume_shock_bucket,trend_regime,volatility_regime,trend_vol_bucket
breakout_forced_cover_signal,score_4,98,0.0003004508591976096,9.980974196410752e-05,0.5408163265306123,0.0022940957128906314,-0.0018916655797230092,0.0012,-0.0008995491408023903,False,True,False,forced_cover_bucket,,,,,
breakout_forced_cover_signal,score_5,60,-0.00019068241800386613,-0.000743693978918547,0.36666666666666664,0.0026949815558519126,-0.00274275881522823,0.0012,-0.001390682418003866,False,True,False,forced_cover_bucket,,,,,
breakout_forced_cover_signal,score_3,263,-0.00019899058157096236,-0.0001385520864908285,0.4714828897338403,0.0016985794552512774,-0.0016790638893133675,0.0012,-0.0013989905815709623,False,True,False,forced_cover_bucket,,,,,
current_short_squeeze_signal,score_4,54,0.0002086593817396501,0.0002120164630853294,0.5925925925925926,0.0019116274458905078,-0.001690673187440979,0.0012,-0.0009913406182603499,False,True,False,forced_cover_bucket,,,,,
current_short_squeeze_signal,score_5,33,0.00011637454894508961,-0.0003533962744495245,0.3939393939393939,0.003229647206869364,-0.002723185326836373,0.0012,-0.0010836254510549104,False,True,False,forced_cover_bucket,,,,,
current_short_squeeze_signal,score_3,162,-0.00015446687873809932,-0.00019802649221722923,0.4691358024691358,0.0017087352550350127,-0.0016868077946073593,0.0012,-0.0013544668787380991,False,True,False,forced_cover_bucket,,,,,
early_squeeze_candidate_signal,score_5,15,0.0006594646225015414,9.848508601462136e-05,0.5333333333333333,0.0030683435270597286,-0.0016620470642379444,0.0012,-0.0005405353774984585,False,False,False,forced_cover_bucket,,,,,
early_squeeze_candidate_signal,score_0_to_2,188,4.454644760791519e-06,0.0001044650733117436,0.5425531914893617,0.0013314337285784412,-0.0013363855810576365,0.0012,-0.0011955453552392084,False,True,False,forced_cover_bucket,,,,,
early_squeeze_candidate_signal,score_3,161,-6.7440114699239115e-06,-5.697388378345103e-05,0.4906832298136646,0.0012059432786669206,-0.001239454139090107,0.0012,-0.0012067440114699238,False,True,False,forced_cover_bucket,,,,,
early_squeeze_candidate_signal,score_4,42,-2.7519342925555335e-05,1.9138947581931465e-05,0.5,0.002133694028600213,-0.0022315750488056487,0.0012,-0.0012275193429255552,False,True,False,forced_cover_bucket,,,,,
simple_breakout_signal,score_4,98,0.0003004508591976096,9.980974196410752e-05,0.5408163265306123,0.0022940957128906314,-0.0018916655797230092,0.0012,-0.0008995491408023903,False,True,False,forced_cover_bucket,,,,,
simple_breakout_signal,score_5,60,-0.00019068241800386613,-0.000743693978918547,0.36666666666666664,0.0026949815558519126,-0.00274275881522823,0.0012,-0.001390682418003866,False,True,False,forced_cover_bucket,,,,,
simple_breakout_signal,score_3,263,-0.00019899058157096236,-0.0001385520864908285,0.4714828897338403,0.0016985794552512774,-0.0016790638893133675,0.0012,-0.0013989905815709623,False,True,False,forced_cover_bucket,,,,,
simple_breakout_signal,score_0_to_2,303,-0.0003558161637458533,-3.370922619050365e-05,0.49174917491749176,0.0015696762734706562,-0.0019181350097378167,0.0012,-0.0015558161637458533,False,True,False,forced_cover_bucket,,,,,
trend_filtered_short_squeeze_signal,score_4,37,0.00015446117613480558,9.579400802417481e-05,0.5405405405405406,0.002074083145388099,-0.001777060412220912,0.0012,-0.0010455388238651943,False,True,False,forced_cover_bucket,,,,,
trend_filtered_short_squeeze_signal,score_3,99,-0.0002691984754164887,-0.0003490330437543321,0.41414141414141414,0.001576658794231508,-0.0015915540385732295,0.0012,-0.0014691984754164886,False,True,False,forced_cover_bucket,,,,,
trend_filtered_short_squeeze_signal,score_5,20,-0.0011707782328942596,-0.001277725468441071,0.2,0.0017908995849766907,-0.0030100668920004627,0.0012,-0.0023707782328942595,False,True,False,forced_cover_bucket,,,,,
breakout_forced_cover_signal,,20,0.0004604884077158089,-0.0004618389781438914,0.5,0.0026744790529053763,-0.0019084756159966853,0.0012,-0.000739511592284191,False,True,False,buy_aggression_bucket,buy_agg_lt_55,,,,
breakout_forced_cover_signal,,33,0.0002585820908480854,2.8787682753161903e-05,0.5151515151515151,0.0030343735663959127,-0.0026244012645292437,0.0012,-0.0009414179091519145,False,True,False,buy_aggression_bucket,buy_agg_55_60,,,,
breakout_forced_cover_signal,,263,-1.0424530843715631e-05,-0.00011664129028343684,0.4752851711026616,0.0018143147472436682,-0.001641581078576903,0.0012,-0.0012104245308437154,False,True,False,buy_aggression_bucket,buy_agg_ge_65,,,,
breakout_forced_cover_signal,,105,-0.0004698343749755725,-0.000253620667402199,0.44761904761904764,0.0019281712635354777,-0.002238399818103239,0.0012,-0.0016698343749755723,False,True,False,buy_aggression_bucket,buy_agg_60_65,,,,
current_short_squeeze_signal,,17,0.0004507444345192078,6.313248173528407e-05,0.5294117647058824,0.0030708828554563074,-0.0022180146013935265,0.0012,-0.0007492555654807921,False,False,False,buy_aggression_bucket,buy_agg_55_60,,,,
current_short_squeeze_signal,,16,0.00016371215461746802,-0.0009914042991958638,0.4375,0.002412113701424301,-0.002160556173771956,0.0012,-0.0010362878453825319,False,False,False,buy_aggression_bucket,buy_agg_lt_55,,,,
current_short_squeeze_signal,,150,-5.690187473932277e-05,-0.00010660894886349581,0.4866666666666667,0.0017643824677938888,-0.001694971783179416,0.0012,-0.0012569018747393226,False,True,False,buy_aggression_bucket,buy_agg_ge_65,,,,
current_short_squeeze_signal,,66,-0.0001767035799431914,-0.00020777445600400624,0.48484848484848486,0.0019873508073608957,-0.0019379305477704807,0.0012,-0.0013767035799431913,False,True,False,buy_aggression_bucket,buy_agg_60_65,,,,
early_squeeze_candidate_signal,,115,0.00029527357814280054,0.00018748302928894844,0.5565217391304348,0.0015938821499485788,-0.001275242827660251,0.0012,-0.0009047264218571994,False,True,False,buy_aggression_bucket,buy_agg_lt_55,,,,
early_squeeze_candidate_signal,,78,-4.138807342505923e-05,-1.3690191863646728e-05,0.5,0.0014779639064839629,-0.0015750533016793723,0.0012,-0.0012413880734250592,False,True,False,buy_aggression_bucket,buy_agg_60_65,,,,
early_squeeze_candidate_signal,,120,-5.315671475023172e-05,0.00011517347288270141,0.525,0.0012660649370683712,-0.0012470092116964862,0.0012,-0.0012531567147502317,False,True,False,buy_aggression_bucket,buy_agg_ge_65,,,,
early_squeeze_candidate_signal,,93,-0.00017055421167977186,-0.00024308658463212396,0.4731182795698925,0.0013935622209374822,-0.0016161427476371084,0.0012,-0.0013705542116797718,False,True,False,buy_aggression_bucket,buy_agg_55_60,,,,
simple_breakout_signal,,288,-5.5154772368979504e-05,-7.0697508067874e-05,0.4826388888888889,0.0017779673026694473,-0.0016592324814379367,0.0012,-0.0012551547723689794,False,True,False,buy_aggression_bucket,buy_agg_ge_65,,,,
simple_breakout_signal,,173,-0.0001605006591097175,5.056381849799507e-05,0.5086705202312138,0.0017746780928690922,-0.0018432215600799036,0.0012,-0.0013605006591097175,False,True,False,buy_aggression_bucket,buy_agg_lt_55,,,,
simple_breakout_signal,,134,-0.0002622693977271546,-0.00013924359221040294,0.4701492537313433,0.00196800397099759,-0.002188261923664654,0.0012,-0.0014622693977271546,False,True,False,buy_aggression_bucket,buy_agg_55_60,,,,
simple_breakout_signal,,129,-0.0004910720440568755,-0.00028666923097597774,0.4496124031007752,0.0017524973291338027,-0.002192047164709381,0.0012,-0.0016910720440568754,False,True,False,buy_aggression_bucket,buy_agg_60_65,,,,
trend_filtered_short_squeeze_signal,,13,0.00023366674761424392,6.313248173528407e-05,0.5384615384615384,0.00222749337443602,-0.0016191306233588674,0.0012,-0.000966333252385756,False,False,False,buy_aggression_bucket,buy_agg_55_60,,,,
trend_filtered_short_squeeze_signal,,94,-0.00023673636837245646,-0.0003512146591019283,0.40425531914893614,0.001743954286128093,-0.0018286561540713,0.0012,-0.0014367363683724563,False,True,False,buy_aggression_bucket,buy_agg_ge_65,,,,
