sample_split,signal_name,holding_bars,holding_minutes,cost_label,trades,win_rate,avg_net_return,median_net_return,std_net_return,q10_net_return,q25_net_return,q75_net_return,q90_net_return,best_trade,worst_trade,profit_factor,max_drawdown,total_return
in_sample,downtrend_highvol_forced_cover_signal,3,15,no_cost,26,0.6153846153846154,0.0002528280268033158,0.0003737683980480355,0.0019355805596610069,-0.0019188011082900136,-0.0006902374714475301,0.0012639918578047915,0.002235220416227257,0.004764795016747536,-0.004702275407048595,1.4130636977764917,-0.008960475225848863,0.006547207771141927
in_sample,downtrend_highvol_forced_cover_signal,3,15,low_cost,26,0.46153846153846156,-0.00034720253574576477,-0.00022628635015668996,0.0019351934822568017,-0.0025183973884403852,-0.0012900794397562472,0.0006637590827108357,0.0016347934148440272,0.004163862151030662,-0.005301315048003063,0.6087362291511004,-0.01410195697364025,-0.009034641017762635
in_sample,downtrend_highvol_forced_cover_signal,3,15,base_cost,26,0.34615384615384615,-0.0009471931001819722,-0.0008263010954125176,0.001934806482252599,-0.0031179537573166375,-0.0018898814476636708,6.356634616407964e-05,0.0010344064908457636,0.003562969463851396,-0.005900314888989322,0.24377090227637105,-0.027018125237425417,-0.024383398663477718
in_sample,downtrend_highvol_forced_cover_signal,3,15,high_cost,26,0.19230769230769232,-0.001547143678501091,-0.0014262758497164062,0.0019344195596252168,-0.003717470226889362,-0.0024896435071537146,-0.0005365863638433709,0.00043405963221274774,0.002962116943159822,-0.006499274941943821,0.10265871124549242,-0.039794405279360845,-0.039502431126864246
in_sample,downtrend_highvol_forced_cover_signal,6,30,no_cost,26,0.5,-0.0004294321578000496,4.954962012748698e-05,0.004389999264600461,-0.005616136828766216,-0.0015667158963949823,0.0012546657085356627,0.0021913928075949496,0.01430329025799515,-0.01034840310234142,0.7266447038119369,-0.030240468990112346,-0.011343396189158361
in_sample,downtrend_highvol_forced_cover_signal,6,30,low_cost,26,0.38461538461538464,-0.0010293262819560552,-0.0005504402908054647,0.004389121352538757,-0.006214993715711703,-0.0021663825865466,0.0006544347984847158,0.0015909745708572846,0.01370044988398096,-0.010946313630668269,0.4571275428570094,-0.042436357613693576,-0.026655352223678097
in_sample,downtrend_highvol_forced_cover_signal,6,30,base_cost,26,0.2692307692307692,-0.0016291804352813728,-0.0011503902117542034,0.00438824361602436,-0.0068138108392326365,-0.0027660093513454157,5.424392660871092e-05,0.0009905964097516548,0.013097650069929712,-0.011544184584803751,0.2852764974818769,-0.05501459761041472,-0.041738149711273986
in_sample,downtrend_highvol_forced_cover_signal,6,30,high_cost,26,0.15384615384615385,-0.0022289946297636993,-0.00175030015471208,0.004387366055004609,-0.007412588211254199,-0.0033655962027651573,-0.0005459069191011345,0.0003902583122591186,0.012494890803676918,-0.012142015976617702,0.19424247340954903,-0.06743420822052759,-0.05659509932247875
in_sample,downtrend_highvol_forced_cover_signal,9,45,no_cost,25,0.56,0.00040535532458674695,0.0006871112961566173,0.005704938522638646,-0.007677103983386233,-0.00067471307123812,0.003161849246443804,0.004875013803512387,0.016165623633607185,-0.010351323114306421,1.2377417467284733,-0.015066514527473651,0.009789568144312755
in_sample,downtrend_highvol_forced_cover_signal,9,45,low_cost,25,0.52,-0.00019470574037166742,8.699388563844257e-05,0.005703797649021485,-0.008275548718116152,-0.0012745581441165217,0.002561236937825351,0.004274058896242308,0.015562410830160812,-0.010949233058689155,0.9014647025604013,-0.024435061227173538,-0.005244497664024683
in_sample,downtrend_highvol_forced_cover_signal,9,45,base_cost,25,0.44,-0.0007947268011178948,-0.0005130835094008017,0.005702657003533412,-0.008873953771834973,-0.0018743632559726545,0.00196066474364578,0.0036731441719174223,0.014959238661148256,-0.011547103428997873,0.6536954996937548,-0.03634452576015568,-0.020062575925867798
in_sample,downtrend_highvol_forced_cover_signal,9,45,high_cost,25,0.32,-0.001394707869649648,-0.0011131209009617382,0.005701516586106001,-0.00947231915644424,-0.0024741284187910426,0.0013601326518742696,0.0030722696184858605,0.014356107114382823,-0.012144934237101078,0.47932727071139936,-0.048431019435480005,-0.03466765756109591
in_sample,downtrend_highvol_forced_cover_signal,12,60,no_cost,25,0.52,0.00045545926237033907,2.6572318533091277e-05,0.004807513686022759,-0.00524688594935947,-0.0014445679740882067,0.0027221992897188407,0.003294960738706454,0.014581259957135329,-0.010114506914969512,1.3224016055686365,-0.013669824613826709,0.011169264800658496
in_sample,downtrend_highvol_forced_cover_signal,12,60,low_cost,25,0.44,-0.00014461182237361436,-0.0005734129973988141,0.004806552279426225,-0.0058458166790966715,-0.0020442590913814394,0.0021216749022995975,0.0026943218104515947,0.013978363994740351,-0.010712464217856254,0.9162409176107685,-0.02024964198579715,-0.003884752969053995
in_sample,downtrend_highvol_forced_cover_signal,12,60,base_cost,25,0.4,-0.0007446429009019122,-0.0011733583242657711,0.004805591065072574,-0.006444707630643553,-0.002643910278437555,0.0015211906117384108,0.0020937230019583376,0.013375508603423425,-0.011310381937198999,0.6401990505788219,-0.031949030537561596,-0.018722504910079985
in_sample,downtrend_highvol_forced_cover_signal,12,60,high_cost,25,0.36,-0.0013446339852127428,-0.001773263674060076,0.004804630042904059,-0.007043558815929816,-0.00324352154723153,0.0009207464060100102,0.001493164301194529,0.012772693771016953,-0.01190826008486947,0.4493086099124185,-0.04351485423164947,-0.0333469856817431
in_sample,downtrend_highvol_forced_cover_signal,18,90,no_cost,25,0.56,0.00029436537349431636,7.19300159111036e-05,0.005605722107210338,-0.005436373186543042,-0.002229963632889853,0.0018111200448807097,0.005432810154680516,0.019019742718370702,-0.010485368253322691,1.1888597379099886,-0.026369543875236268,0.007007166922426311
in_sample,downtrend_highvol_forced_cover_signal,18,90,low_cost,25,0.36,-0.00030567349569344106,-0.0005280643706534912,0.005604601074892103,-0.006035266022622032,-0.00282949768675782,0.0012107778550908947,0.004831743699295204,0.018415959148184013,-0.011083251391358061,0.8397192858916216,-0.02987966060930658,-0.007986562563874422
in_sample,downtrend_highvol_forced_cover_signal,18,90,base_cost,25,0.28,-0.0009056723651073232,-0.0011280187663387001,0.005603480266735557,-0.006634119088087975,-0.003428991841794992,0.000610475725726501,0.004230717449159953,0.01781221632656185,-0.011681094960679794,0.6073887486407318,-0.034499595272898254,-0.02276486848122017
in_sample,downtrend_highvol_forced_cover_signal,18,90,high_cost,25,0.28,-0.0015056312467436447,-0.0017279331831387067,0.005602359682673355,-0.007232932394868484,-0.004028446109966909,1.0213644774027591e-05,0.0036297313922165012,0.01720851424128287,-0.012278898973154616,0.4501847373569442,-0.043708954045686754,-0.03733073415253774
in_sample,downtrend_highvol_forced_cover_signal,24,120,no_cost,25,0.64,0.0006608488859024586,0.0013391529335256003,0.0064233100353126875,-0.005344375829225999,-0.002906840524107057,0.002780115075114775,0.007345810856187154,0.018472199658828847,-0.014753803707229562,1.3404451631066716,-0.025336800541539084,0.016150777850500564
in_sample,downtrend_highvol_forced_cover_signal,24,120,low_cost,25,0.52,6.0736727341162324e-05,0.000738905127719525,0.006422025501758996,-0.005943287062936785,-0.0035062392161330667,0.0021795791056966165,0.006744361838917714,0.01786852558630443,-0.015350833243534411,1.0278061050807896,-0.028267223193133684,0.0010244773778287364
in_sample,downtrend_highvol_forced_cover_signal,24,120,base_cost,25,0.52,-0.0005393354167913457,0.0001386973634661899,0.006420741225060585,-0.006542158522355689,-0.004105598036394853,0.0015790832354524395,0.006142953103395368,0.01726489224044916,-0.01594782338181153,0.78181223874369,-0.03230200349436696,-0.013884545704914597
in_sample,downtrend_highvol_forced_cover_signal,24,120,high_cost,25,0.44,-0.0011393675584957105,-0.0004614703712430212,0.006419457205140522,-0.007140990219411279,-0.004704916996850626,0.0009786274523563077,0.005541584637539025,0.016661299609048587,-0.016544774133877137,0.5913680299266396,-0.04373113859947653,-0.028579299695255966
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,no_cost,17,0.6470588235294118,0.001120577339500583,0.000553620546466238,0.00268606907958366,-0.0014821870855747932,-0.0004763669771191692,0.0021388800911785744,0.003120410136688179,0.009591032969687774,-0.0018299312726921535,4.085955706415938,-0.0023700398605527306,0.01916304240751643
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,low_cost,17,0.47058823529411764,0.0005203732444422152,-4.647016857166586e-05,0.0026855319194837805,-0.002081870679798259,-0.001076251715249876,0.0015384723559336959,0.0025198061150631286,0.008989134952895618,-0.0024295453250324115,1.8800338775130574,-0.003567743839829718,0.00882530829434125
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,base_cost,17,0.35294117647058826,-7.979081780368856e-05,-0.0006465208734683696,0.002684994866794388,-0.002681514345288582,-0.0016760964844267693,0.0009381046942215316,0.0019192422062195747,0.008387277307632468,-0.003029119462545115,0.914889797649012,-0.008669049092806191,-0.001412996085603857
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,high_cost,17,0.29411764705882354,-0.0006799148592434395,-0.0012465315802236076,0.0026844579214833518,-0.0032811180940208505,-0.002275901296636927,0.00033777709402302964,0.0013187183981278512,0.007785460021790459,-0.0036286536972011327,0.49933201918494335,-0.017115935981625308,-0.01155277529906884
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,no_cost,16,0.625,0.0013135158266340818,0.0006773697134908607,0.003924824017677677,-0.0009467283993455644,-0.000726314126285349,0.0014596983739452174,0.006150040891480191,0.010870920318836852,-0.00489905742630703,3.4234499586691074,-0.005805815535477321,0.02110731399831356
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,low_cost,16,0.5625,0.0007132731477366613,7.725425109446105e-05,0.003924039131362784,-0.0015465190745981734,-0.001326148879984684,0.0008594264614617101,0.005548831004290556,0.010268766350170112,-0.005498057714792881,1.8886715377269023,-0.007012483430989813,0.011357399335015339
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,base_cost,16,0.3125,0.00011307050936692543,-0.0005228211962126965,0.003923254401993755,-0.0021462697997057015,-0.0019259436747250161,0.0002591945953514203,0.004947661351031774,0.009666652804212328,-0.006097018211179561,1.0967759551483198,-0.010585032088964219,0.0016954558004627085
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,high_cost,16,0.25,-0.0004870921004837131,-0.0011228566404310125,0.0039224698295235155,-0.002745980586649731,-0.002525698522490648,-0.00034099723639604445,0.004346531919636833,0.009064579668840757,-0.006695938927400745,0.698442996842715,-0.01542333069103441,-0.007879264547003606
out_of_sample,downtrend_highvol_forced_cover_signal,9,45,no_cost,15,0.6666666666666666,0.0007788413690636098,0.00048072637520024664,0.0030682036828825867,-0.003011835531441087,-0.00032869051920336734,0.0019470098368558064,0.005217860191483447,0.0063502221742459675,-0.004431086080682323,2.0850479029263096,-0.008116959186764139,0.011679999669106378
out_of_sample,downtrend_highvol_forced_cover_signal,9,45,low_cost,15,0.4666666666666667,0.00017870561436531188,-0.00011934976246101814,0.003067590103503949,-0.0036112132265652573,-0.0009286047896723711,0.0013466404718248228,0.004616836721792249,0.005748972254803153,-0.005030179954078662,1.1802632295954534,-0.010066273822179617,0.0026179545648659097
out_of_sample,downtrend_highvol_forced_cover_signal,9,45,base_cost,15,0.26666666666666666,-0.00042139012118590815,-0.0007193858928963064,0.0030669766468166383,-0.004210551054123867,-0.0015284790852824518,0.0007463111726539137,0.004015853448755413,0.0051477625772956784,-0.005629234016662909,0.6938272914292458,-0.013629055322383454,-0.0063676874779992065
