sample_split,signal_name,horizon,events,avg_return,median_return,win_rate,avg_mfe,avg_mae
in_sample,downtrend_highvol_forced_cover_signal,6b,11,0.0022678462807438553,0.0011119362473237526,0.8181818181818182,0.003650966201033859,-0.0011248832879296204
in_sample,downtrend_forced_cover_signal,6b,37,0.0005248148572099707,0.0008716678501305974,0.6216216216216216,0.0023411647006007716,-0.0014901536470484568
in_sample,breakout_forced_cover_signal,6b,295,4.878159470756888e-05,-0.00012074409589990509,0.48135593220338985,0.001868038005136417,-0.0015937297534105654
in_sample,downtrend_normalvol_forced_cover_signal,6b,19,-0.00036080227841091343,0.0008716678501305974,0.5263157894736842,0.0018770954653022948,-0.0021015350390859444
out_of_sample,downtrend_normalvol_forced_cover_signal,6b,9,0.0019283353736739962,0.0014585083511586827,0.7777777777777778,0.003595001426992687,-0.0019393212756419784
out_of_sample,downtrend_forced_cover_signal,6b,28,0.0011277638774835144,0.00010896396121939933,0.5357142857142857,0.003277303931975736,-0.0019860509873170784
out_of_sample,downtrend_highvol_forced_cover_signal,6b,18,0.0008039635402477849,-0.0005904030159952223,0.4444444444444444,0.003108934437496195,-0.0019883584429872753
out_of_sample,breakout_forced_cover_signal,6b,126,-0.00038668138310128685,-0.00024548417190001226,0.4523809523809524,0.002239487765319362,-0.002550732391744822
