sample_split,signal_name,holding_bars,holding_minutes,cost_label,round_trip_cost,trades,win_rate,avg_net_return,median_net_return,total_return,profit_factor,max_drawdown,best_trade,worst_trade
in_sample,downtrend_highvol_forced_cover_signal,18,90,base_cost,0.0012000000000000001,8,0.5,0.001797473688427929,-0.00018735777904735834,0.014308347167462765,2.7287663564069184,-0.004607072109802601,0.01781221632656185,-0.0037038708674354873
in_sample,downtrend_highvol_forced_cover_signal,9,45,base_cost,0.0012000000000000001,8,0.25,0.0014314177611729712,-0.0007512789422314585,0.011398078038959314,2.889324388759867,-0.003508673537359619,0.014959238661148256,-0.0015839374801267284
in_sample,downtrend_highvol_forced_cover_signal,12,60,base_cost,0.0012000000000000001,8,0.5,0.001386761777833848,-0.00029022133286513635,0.011041496134807538,2.313297971434869,-0.004438387350089945,0.013375508603423425,-0.0044383873500899226
in_sample,downtrend_highvol_forced_cover_signal,24,120,base_cost,0.0012000000000000001,8,0.625,0.0013453074138107903,0.0003035127315484061,0.010633498984642609,1.9567869446174138,-0.010877852282496825,0.01726489224044916,-0.007197432738187492
in_sample,downtrend_highvol_forced_cover_signal,6,30,base_cost,0.0012000000000000001,9,0.3333333333333333,0.0010436519086364083,-0.00019625520018804398,0.009346091753461128,2.7541937595366583,-0.005061424354188548,0.013097650069929712,-0.002181761760178568
in_sample,downtrend_highvol_forced_cover_signal,3,15,base_cost,0.0012000000000000001,10,0.2,-0.0003713797375326614,-0.0005664275031947767,-0.0037208902917006403,0.5479177781140856,-0.0072579997241662975,0.003562969463851396,-0.0028372374794815905
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,base_cost,0.0012000000000000001,10,0.4,0.0006181904950317679,-0.0008199607879631802,0.00609012430953082,1.4603779355566329,-0.010585032088964219,0.009666652804212328,-0.006097018211179561
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,base_cost,0.0012000000000000001,10,0.5,0.0004861163913094109,-0.0003076847483226335,0.0048225496248581745,1.5535505813481312,-0.006571607213090247,0.008387277307632468,-0.003029119462545115
out_of_sample,downtrend_highvol_forced_cover_signal,12,60,base_cost,0.0012000000000000001,10,0.4,-0.000501153835656664,-0.00197188488123493,-0.005102714926719432,0.7826730188539744,-0.01617970165421878,0.006790860712418878,-0.007109987715430454
out_of_sample,downtrend_highvol_forced_cover_signal,9,45,base_cost,0.0012000000000000001,10,0.3,-0.0005180064717717475,-0.0008157220854099526,-0.005228161715267077,0.694405130770179,-0.013629055322383565,0.0051477625772956784,-0.005629234016662909
out_of_sample,downtrend_highvol_forced_cover_signal,24,120,base_cost,0.0012000000000000001,10,0.4,-0.0009762653147088017,-0.002980790156402823,-0.00993662630007941,0.6964241801440308,-0.02720936311369415,0.011044883667077255,-0.011150185200501128
out_of_sample,downtrend_highvol_forced_cover_signal,18,90,base_cost,0.0012000000000000001,10,0.3,-0.001227214606706139,-0.001372514960847592,-0.01231233788762831,0.5116365850720825,-0.024475659081626744,0.007957157201760845,-0.009924855181952607
