signal_name,horizon,events,avg_return,median_return,win_rate,avg_mfe,avg_mae
simple_breakout_signal,1b,724,-8.788143074489484e-05,-8.699447093907242e-05,0.44613259668508287,0.0009439957921823819,-0.0009841283939638857
simple_breakout_signal,2b,724,-9.115176828969785e-05,-0.00011409344064006177,0.45027624309392267,0.0011465047031737213,-0.001190010109057551
simple_breakout_signal,3b,724,-6.507275600695681e-05,-7.790558358350408e-05,0.47790055248618785,0.0013543470757084325,-0.0013943969261271825
simple_breakout_signal,6b,724,-0.00019633091360086034,-0.00011376810937197002,0.48066298342541436,0.0018078157193468112,-0.0018960462245393962
simple_breakout_signal,12b,724,-0.00043372467195222235,-0.00020974142175272936,0.4544198895027624,0.002404301558955973,-0.002738622919518536
breakout_forced_cover_signal,1b,421,-6.667374330244685e-05,-9.814389349716013e-05,0.44418052256532065,0.0010137441939643262,-0.0010297064393978805
breakout_forced_cover_signal,2b,421,3.1727919256163534e-06,-8.766704423401883e-05,0.45605700712589076,0.0012483419355093055,-0.0011857634579911767
breakout_forced_cover_signal,3b,421,5.3241774141467206e-05,-3.184611541096061e-05,0.49406175771971494,0.0014580248237708257,-0.0013813197006051975
breakout_forced_cover_signal,6b,421,-8.154699247512904e-05,-0.00017601804327405102,0.47268408551068886,0.00197920824215079,-0.0018801485952873263
breakout_forced_cover_signal,12b,421,-0.0003235030344243496,-0.00028966852984324554,0.44418052256532065,0.002564106497451048,-0.0026845621472248176
current_short_squeeze_signal,1b,249,-1.792099768180389e-05,-8.954801362281994e-05,0.4497991967871486,0.0010224128340310256,-0.0009710115352801954
current_short_squeeze_signal,2b,249,8.785988860981941e-05,-7.69154151082363e-05,0.46586345381526106,0.0012471049137780666,-0.001114703072391429
current_short_squeeze_signal,3b,249,0.00011519914984290694,3.502371685248917e-05,0.5100401606425703,0.001455819129505799,-0.0013158392416080771
current_short_squeeze_signal,6b,249,-3.982195833912862e-05,-0.00017601804327405102,0.4859437751004016,0.0019543026153431664,-0.0018249973117823509
current_short_squeeze_signal,12b,249,-0.0002666663128172422,-0.00022247858578572366,0.4457831325301205,0.002563286931178742,-0.0025150642069312183
trend_filtered_short_squeeze_signal,1b,156,-0.00010630469634516822,-0.00020151204823387614,0.4230769230769231,0.0009803273736505736,-0.0010043660805886063
trend_filtered_short_squeeze_signal,2b,156,-4.3930109871001614e-05,-8.453577159467374e-05,0.46153846153846156,0.0011569551842719617,-0.0011290331081249883
trend_filtered_short_squeeze_signal,3b,156,1.4030322282569922e-05,-1.0285498103390633e-05,0.5,0.0013417165977630313,-0.0012807621036423284
trend_filtered_short_squeeze_signal,6b,156,-0.0002843022449174985,-0.0003512146591019283,0.4166666666666667,0.0017221044147936715,-0.0018174129673777738
