sample_split,signal_name,holding_bars,holding_minutes,cost_label,round_trip_cost,trades,win_rate,avg_net_return,median_net_return,total_return,profit_factor,max_drawdown,best_trade,worst_trade
in_sample,downtrend_highvol_forced_cover_signal,3,15,no_cost,0.0,10,0.7,0.0008288717608719631,0.0006337459604967011,0.008306270034818874,4.419849988255019,-0.002113559222582273,0.004764795016747536,-0.0016379725214817897
in_sample,downtrend_highvol_forced_cover_signal,3,15,low_cost,0.0006000000000000001,10,0.5,0.0002287260010957917,3.36392219784768e-05,0.002276253016971763,1.5115925786000128,-0.0033577847133555716,0.004163862151030662,-0.002237624961733453
in_sample,downtrend_highvol_forced_cover_signal,3,15,base_cost,0.0012000000000000001,10,0.2,-0.0003713797375326614,-0.0005664275031947767,-0.0037208902917006403,0.5479177781140856,-0.0072579997241662975,0.003562969463851396,-0.0028372374794815905
in_sample,downtrend_highvol_forced_cover_signal,3,15,high_cost,0.0018,10,0.2,-0.000971445467016073,-0.001166454227023349,-0.009685322014571507,0.2535581388964034,-0.012610086407130017,0.002962116943159822,-0.003436810086699292
in_sample,downtrend_highvol_forced_cover_signal,6,30,no_cost,0.0,9,0.7777777777777778,0.0022444695329246877,0.001004066362044309,0.02029565597975358,13.017122929246625,-0.0009822345594426851,0.01430329025799515,-0.000982234559442574
in_sample,downtrend_highvol_forced_cover_signal,6,30,low_cost,0.0006000000000000001,9,0.7777777777777778,0.0016440406819032503,0.0004038855668512923,0.014807564174216026,6.136597268474417,-0.002691144136228174,0.01370044988398096,-0.0015820181341731794
in_sample,downtrend_highvol_forced_cover_signal,6,30,base_cost,0.0012000000000000001,9,0.3333333333333333,0.0010436519086364083,-0.00019625520018804398,0.009346091753461128,2.7541937595366583,-0.005061424354188548,0.013097650069929712,-0.002181761760178568
in_sample,downtrend_highvol_forced_cover_signal,6,30,high_cost,0.0018,9,0.3333333333333333,0.00044330320110455644,-0.0007963559510789852,0.0039111234099737935,1.4455661768736505,-0.008632621011473107,0.012494890803676918,-0.0027814654494399335
in_sample,downtrend_highvol_forced_cover_signal,9,45,no_cost,0.0,8,0.75,0.0026323905228297223,0.0004488205660932998,0.021142485500868835,28.469331129803507,-0.0003841711018433003,0.016165623633607185,-0.00038417110184318926
in_sample,downtrend_highvol_forced_cover_signal,9,45,low_cost,0.0006000000000000001,8,0.375,0.002031884095367973,-0.000151249191044189,0.016259899810414424,6.953495522928675,-0.001627898781888737,0.015562410830160812,-0.0009840742773052243
