signal_time,entry_time,entry_price,signal_col,forced_cover_score,buy_aggression_ratio_15m,cvd_15m,cvd_slope_15m,volume_shock_15m,vol_percentile,ret_1b,mfe_1b,mae_1b,ret_2b,mfe_2b,mae_2b,ret_3b,mfe_3b,mae_3b,ret_6b,mfe_6b,mae_6b,ret_12b,mfe_12b,mae_12b,signal_col_name
2026-06-04 04:10:00+00:00,2026-06-04 04:15:00+00:00,64642.926,simple_breakout_signal,2,0.5226689096495744,21.937499999999986,91.47123,,,0.0015901817315633338,0.001877916231700194,-0.0021491292024745645,-0.00106625742776556,0.001877916231700194,-0.0021491292024745645,-0.005614318881543179,0.001877916231700194,-0.005835070027615963,-0.004407690332581815,0.001877916231700194,-0.005835070027615963,-0.012565427499367732,0.001877916231700194,-0.014327105180851563,simple_breakout_signal
2026-06-04 04:20:00+00:00,2026-06-04 04:25:00+00:00,64758.679146,simple_breakout_signal,2,0.5184088873209572,17.04253,55.81857000000002,,,-0.0073917373286878085,-0.00010313900913483387,-0.007612093892289451,-0.0056929688940817735,-0.00010313900913483387,-0.007612093892289451,-0.0052917871475945955,-0.00010313900913483387,-0.007612093892289451,-0.005538858277070902,-0.00010313900913483387,-0.007612093892289451,-0.014153302045176397,-0.00010313900913483387,-0.0171508925235484,simple_breakout_signal
2026-06-04 06:15:00+00:00,2026-06-04 06:20:00+00:00,64378.8732,simple_breakout_signal,1,0.5642460995786224,23.231679999999997,-4.7192699999999945,,,-0.001908750400434256,0.0004834940167917079,-0.0023846829304244865,-0.0036130362095248003,0.0004834940167917079,-0.004717280450941552,-0.00016889391596253134,0.0009184193052946821,-0.004717280450941552,-0.004611345077099038,0.0009184193052946821,-0.004717280450941552,-0.011663347969252724,0.0009184193052946821,-0.013762017816739358,simple_breakout_signal
2026-06-04 18:25:00+00:00,2026-06-04 18:30:00+00:00,63909.039252,simple_breakout_signal,3,0.6490063826717801,98.90816000000004,60.98535,,0.5704697986577181,0.0007072668988461484,0.0029963014659777354,-0.00276986251196798,0.00024864632900101213,0.0031488620444830584,-0.00276986251196798,0.0016110514131499887,0.0031488620444830584,-0.00276986251196798,-0.003054329313734727,0.0031488620444830584,-0.003487757829077842,0.000882515973641862,0.003988336407232396,-0.004512651971856685,simple_breakout_signal
2026-06-04 19:25:00+00:00,2026-06-04 19:30:00+00:00,64140.8256,simple_breakout_signal,3,0.6321457373917806,52.20813000000003,11.635489999999997,,0.5341614906832298,-0.0028815594166595737,4.9491099784138015e-05,-0.005874816803106309,-0.005531821529905501,4.9491099784138015e-05,-0.005874816803106309,-0.0064674190910319895,4.9491099784138015e-05,-0.006963203167749676,-0.011657873016215015,4.9491099784138015e-05,-0.011896098824147217,-0.009231649179146206,4.9491099784138015e-05,-0.014935660572476306,simple_breakout_signal
2026-06-04 21:00:00+00:00,2026-06-04 21:05:00+00:00,63765.45054,simple_breakout_signal,0,0.4259195486775942,-23.374709999999972,-8.751150000000003,,0.005555555555555556,0.0006174105203773372,0.0017336889971577563,-0.00043049237114345384,-0.0014024920900370663,0.0017336889971577563,-0.0029294945525840665,-0.0032928574678270373,0.0017336889971577563,-0.004243529022511239,-0.007142591107613949,0.0017336889971577563,-0.007585150514957784,-0.007675638388110695,0.0017336889971577563,-0.010341188440068372,simple_breakout_signal
2026-06-04 21:05:00+00:00,2026-06-04 21:10:00+00:00,63859.759397999995,simple_breakout_signal,0,0.3886252601580824,-52.80663999999999,-29.431930000000015,,0.011049723756906077,-0.0028772328573125616,0.000254316680067479,-0.004401980224322588,-0.004764806520857645,0.000254316680067479,-0.005714074112396661,-0.005702016440910729,0.000254316680067479,-0.006604462684731027,-0.005696222494871894,0.000254316680067479,-0.011802728433449095,-0.00889072247299727,0.000254316680067479,-0.011802728433449095,simple_breakout_signal
2026-06-04 22:45:00+00:00,2026-06-04 22:50:00+00:00,63628.733202,simple_breakout_signal,2,0.5983913879501537,41.55063000000004,12.275170000000003,,0.04975124378109453,0.0016768650361349557,0.0022516053799965796,-0.0014016183807538107,0.0032784999402351023,0.0032888726125608336,-0.0014016183807538107,0.002181668422649663,0.0035088989952258842,-0.0014016183807538107,-0.002911313689240358,0.0035088989952258842,-0.003971998015388056,0.003666060697129492,0.004106113462459815,-0.003971998015388056,simple_breakout_signal
2026-06-04 22:55:00+00:00,2026-06-04 23:00:00+00:00,63748.16708399999,simple_breakout_signal,2,0.6032742956501732,33.59007000000003,-3.155770000000004,,0.059113300492610835,0.00030405448323667095,0.0016287984541294431,-0.0011948121410240153,-0.0022613526097156056,0.0016287984541294431,-0.002261509476970902,-0.005743805677071667,0.0016287984541294431,-0.005743962544326964,-0.002073268770627412,0.0016287984541294431,-0.005838082897498764,-0.0001593313888791359,0.002664122339019137,-0.005838082897498764,simple_breakout_signal
2026-06-04 23:00:00+00:00,2026-06-04 23:05:00+00:00,63850.107467999995,simple_breakout_signal,2,0.6044394338917451,32.52574000000003,-1.0643300000000053,,0.004901960784313725,-0.003854299980987963,2.9640232022343227e-05,-0.003854456597795708,-0.007331193110905687,2.9640232022343227e-05,-0.007331349727713432,-0.006368312977449331,2.9640232022343227e-05,-0.007425319812305764,-0.0021943184366637336,2.9640232022343227e-05,-0.007425319812305764,-0.0004214161740210276,0.0010633111625384384,-0.007425319812305764,simple_breakout_signal
