signal_name,signal_time,entry_time,entry_price,trend_regime,volatility_regime,trend_vol_bucket,forced_cover_score,forced_cover_bucket,buy_aggression_ratio_15m,buy_aggression_bucket,cvd_15m,cvd_slope_15m,volume_shock_15m,volume_shock_bucket,vol_percentile,ret_1b,mfe_1b,mae_1b,ret_2b,mfe_2b,mae_2b,ret_3b,mfe_3b,mae_3b,ret_6b,mfe_6b,mae_6b,ret_12b,mfe_12b,mae_12b
simple_breakout_signal,2026-05-01 01:15:00+00:00,2026-05-01 01:20:00+00:00,76616.7,trend_down,normal_vol,trend_down__normal_vol,2,score_0_to_2,0.5414509868529124,buy_agg_lt_55,6.863659999999985,15.945999999999998,,volume_shock_na,,-0.0010427230616824046,0.00017359139717587624,-0.0011314765579828467,-0.0005964757030777479,0.00017359139717587624,-0.0011314765579828467,-0.00040891868221948346,0.00017359139717587624,-0.0011314765579828467,0.0015732862417725535,0.0019486613231840533,-0.0011314765579828467,0.00014409391164083019,0.0020819220874823685,-0.0011314765579828467
simple_breakout_signal,2026-05-01 01:45:00+00:00,2026-05-01 01:50:00+00:00,76692.63,trend_down,normal_vol,trend_down__normal_vol,0,score_0_to_2,0.39521088835347523,buy_agg_lt_55,-49.190000000000005,-8.297810000000005,,volume_shock_na,,-8.475390660089843e-05,0.0010898048482625988,-0.0004540201581300085,-0.00017954789136853666,0.0010898048482625988,-0.0009182107850519428,0.00035870461086018324,0.0010898048482625988,-0.0009182107850519428,-0.0008461047691283863,0.0010898048482625988,-0.0010761138325807718,-0.0015074460218668095,0.0010898048482625988,-0.0016696519600384319
simple_breakout_signal,2026-05-01 03:15:00+00:00,2026-05-01 03:20:00+00:00,77240.71,trend_down,normal_vol,trend_down__normal_vol,3,score_3,0.7869739978296629,buy_agg_ge_65,151.45113,138.86171000000002,,volume_shock_na,,-0.0005494511896640963,0.002758001577147562,-0.0007061043328059347,-0.00013865745149166386,0.002758001577147562,-0.0008034623192875179,-0.0013039755848955892,0.002758001577147562,-0.0013754404898661532,-0.0011800771898654583,0.002758001577147562,-0.0020506025902662373,-0.0009782406194869253,0.002758001577147562,-0.0022336666765493396
simple_breakout_signal,2026-05-01 03:20:00+00:00,2026-05-01 03:25:00+00:00,77321.34,trend_down,normal_vol,trend_down__normal_vol,1,score_0_to_2,0.5731023726814447,buy_agg_55_60,95.38764999999998,-56.06348000000003,,volume_shock_na,,-0.0011813038935951647,0.0003657463773907299,-0.0018454155088363233,-0.002345406843699216,0.0003657463773907299,-0.0024167972257076453,-0.0021073095732692115,0.0003657463773907299,-0.0030912552731237053,-0.0024606402320497267,0.0003657463773907299,-0.003223560274563275,-0.003996180097240787,0.0003657463773907299,-0.008635908275774762
simple_breakout_signal,2026-05-01 07:50:00+00:00,2026-05-01 07:55:00+00:00,77133.43,trend_up,low_vol,trend_up__low_vol,1,score_0_to_2,0.46478898711342376,buy_agg_lt_55,-10.825139999999998,30.854080000000017,,volume_shock_na,0.1694915254237288,-0.0006722117763983126,1.2964547280169825e-07,-0.0011075612740155671,4.6153788312075505e-05,0.0001874673536494953,-0.0011075612740155671,0.001511277276273093,0.001511277276273093,-0.0011075612740155671,0.003984005378731448,0.004752414095937407,-0.0011075612740155671,0.003163868117883606,0.004752414095937407,-0.0011075612740155671
simple_breakout_signal,2026-05-01 08:10:00+00:00,2026-05-01 08:15:00+00:00,77249.99,trend_up,normal_vol,trend_up__normal_vol,3,score_3,0.7791722363635174,buy_agg_ge_65,116.18608,110.87657,,volume_shock_na,0.3333333333333333,0.0030736573558129976,0.0032363758234790208,-0.00028789647739768665,0.0024691265332201784,0.0032363758234790208,-0.00028789647739768665,0.0021940455914621904,0.0032363758234790208,-0.00028789647739768665,0.0014476377278496155,0.0032363758234790208,-0.00028789647739768665,0.0010319742436213364,0.0032363758234790208,-0.00028789647739768665
simple_breakout_signal,2026-05-01 08:15:00+00:00,2026-05-01 08:20:00+00:00,77353.11,trend_up,normal_vol,trend_up__normal_vol,1,score_0_to_2,0.557729395929781,buy_agg_55_60,42.23437000000003,-73.95170999999998,,volume_shock_na,0.359375,0.0011327275658341573,0.0018989540304197305,-1.292772843219936e-07,0.0008580133365032605,0.0018989540304197305,-1.292772843219936e-07,0.0007436029398171229,0.0018989540304197305,-1.292772843219936e-07,6.528502861757879e-05,0.0018989540304197305,-1.292772843219936e-07,0.0003204783880053075,0.0018989540304197305,-0.0008264696791119297
simple_breakout_signal,2026-05-01 08:20:00+00:00,2026-05-01 08:25:00+00:00,77487.07,trend_up,normal_vol,trend_up__normal_vol,2,score_0_to_2,0.5816193549953206,buy_agg_55_60,72.15539000000003,29.92102,,volume_shock_na,0.4461538461538462,-0.0008722745614204719,0.0,-0.0008722745614204719,-0.0009864871648909146,0.0,-0.0014033309041109332,-0.0015023151604519613,0.0,-0.0016163987101331934,-0.0014144295299848286,0.0,-0.00166376145078162,-0.0018102375015599526,0.0,-0.0025538454351160533
simple_breakout_signal,2026-05-01 10:20:00+00:00,2026-05-01 10:25:00+00:00,77408.77,trend_up,normal_vol,trend_up__normal_vol,3,score_3,0.6920287224066014,buy_agg_ge_65,64.313,38.8061,,volume_shock_na,0.5955056179775281,-0.0012298348107068202,0.0,-0.0013718083881193444,-0.002005069968170403,0.0,-0.002005069968170403,-0.002038011972028575,0.0,-0.002038141156357365,-0.0013490719462407874,0.0,-0.002038141156357365,-0.00033768783562893034,0.0024703919207087477,-0.002038141156357365
simple_breakout_signal,2026-05-01 11:15:00+00:00,2026-05-01 11:20:00+00:00,77433.93,trend_up,normal_vol,trend_up__normal_vol,3,score_3,0.8180452745725164,buy_agg_ge_65,57.82064999999999,23.45736000000001,,volume_shock_na,0.51,-0.0006625002760416443,0.0021446670729485806,-0.0011299955975371256,-0.0007610358921469329,0.0021446670729485806,-0.0011299955975371256,-0.000818116812616787,0.0021446670729485806,-0.0011513040859477686,-0.00042371606348790003,0.0021446670729485806,-0.0011513040859477686,0.0042297995207012384,0.004520886386626621,-0.0011513040859477686
simple_breakout_signal,2026-05-01 12:15:00+00:00,2026-05-01 12:20:00+00:00,77691.14,trend_up,normal_vol,trend_up__normal_vol,3,score_3,0.6419618867039846,buy_agg_60_65,64.64678,24.54444,,volume_shock_na,0.6160714285714286,0.0009254594539351846,0.0013944962063885402,-0.0002538255971015202,0.003287633570571824,0.005687392410511638,-0.0002538255971015202,0.00440307607791568,0.006166211488208173,-0.0002538255971015202,0.0033382184892640776,0.006166211488208173,-0.0002538255971015202,0.008354363187359493,0.009512796439851368,-0.0002538255971015202
simple_breakout_signal,2026-05-01 12:20:00+00:00,2026-05-01 12:25:00+00:00,77761.47,trend_up,normal_vol,trend_up__normal_vol,3,score_3,0.6653953910072181,buy_agg_ge_65,95.15220000000001,30.50542,,volume_shock_na,0.6460176991150443,0.002380227637157617,0.004777816057232487,-0.0001772085841483806,0.0034946613020561124,0.005256202075397898,-0.0001772085841483806,0.002541232823916495,0.005256202075397898,-0.0001772085841483806,0.0017301627656987062,0.005256202075397898,-0.0001772085841483806,0.00666371147561895,0.008599760266877698,-0.0001772085841483806
simple_breakout_signal,2026-05-01 12:30:00+00:00,2026-05-01 12:35:00+00:00,77946.55,trend_up,normal_vol,trend_up__normal_vol,3,score_3,0.679921329103087,buy_agg_ge_65,196.11955999999998,132.17230999999998,,volume_shock_na,0.6869565217391305,0.00016075118141856137,0.0028692738806270768,-7.197239646916653e-05,0.0005715455013723947,0.0028692738806270768,-7.197239646916653e-05,5.0547458482874674e-05,0.0028692738806270768,-7.197239646916653e-05,0.0032515871452938327,0.0035080449359208288,-0.0006485213264730838,0.0035076600567953697,0.007603928589527076,-0.0006485213264730838
simple_breakout_signal,2026-05-01 13:00:00+00:00,2026-05-01 13:05:00+00:00,78194.86,trend_up,high_vol,trend_up__high_vol,1,score_0_to_2,0.4059335178605216,buy_agg_lt_55,-57.28255000000003,31.346379999999996,,volume_shock_na,0.7024793388429752,0.0019121461436213405,0.003009660737291364,-0.0004891625869014593,0.0014600703933735915,0.003009660737291364,-0.0004891625869014593,0.0018586899445820482,0.003009660737291364,-0.0004891625869014593,0.0003209929655223487,0.004404253681124404,-0.0004891625869014593,0.005824423753684194,0.009198302804046099,-0.0007353424508976802
simple_breakout_signal,2026-05-01 13:10:00+00:00,2026-05-01 13:15:00+00:00,78344.37,trend_up,high_vol,trend_up__high_vol,2,score_0_to_2,0.5695638299619898,buy_agg_55_60,65.63802999999997,78.96416,,volume_shock_na,0.7073170731707317,-5.322654327299947e-05,0.0007064962038754175,-0.001072444644075743,-0.0008260963742512395,0.0007064962038754175,-0.001072444644075743,0.0011559222443169315,0.0021282958813761965,-0.0015396128656085528,0.0001310879135285603,0.002487479317275776,-0.002642308566652485,0.0017797066974947207,0.007272379623449732,-0.002642308566652485
simple_breakout_signal,2026-05-01 13:30:00+00:00,2026-05-01 13:35:00+00:00,78434.94,trend_up,high_vol,trend_up__high_vol,2,score_0_to_2,0.5337653923253487,buy_agg_lt_55,28.671239999999983,140.04166000000004,,volume_shock_na,0.7086614173228346,-0.0022421130174894444,0.0013298920098618883,-0.003793972431163972,-0.0010237784334380384,0.0013298920098618883,-0.003793972431163972,0.004419968957711795,0.005776252267165605,-0.003793972431163972,0.0027457151111480727,0.00610926711998494,-0.003793972431163972,-0.0027319457374481715,0.00610926711998494,-0.004884047849083584
simple_breakout_signal,2026-05-01 15:35:00+00:00,2026-05-01 15:40:00+00:00,78675.34,trend_up,high_vol,trend_up__high_vol,0,score_0_to_2,0.3597277723383886,buy_agg_lt_55,-59.224110000000024,-4.643169999999984,,volume_shock_na,0.9407894736842105,-0.0001494750451666027,0.0007699998500165783,-0.0006836958060809639,-0.004007990305475717,0.0007699998500165783,-0.006332861097263609,-0.0029164157409423686,0.0007699998500165783,-0.006332861097263609,-0.003622609066576521,0.0007699998500165783,-0.006332861097263609,-0.005047579076239095,0.0007699998500165783,-0.006383067426210087
simple_breakout_signal,2026-05-01 17:35:00+00:00,2026-05-01 17:40:00+00:00,78512.46,trend_up,high_vol,trend_up__high_vol,3,score_3,0.7373911477980973,buy_agg_ge_65,74.10553999999998,25.792930000000013,,volume_shock_na,0.7954545454545454,-0.0006702120911764586,0.0005096006417324439,-0.0011692411624856236,5.107469565968081e-05,0.000664735253486981,-0.0011692411624856236,0.0005155869526951573,0.0009189624169207988,-0.0011692411624856236,0.00018977879434678435,0.001231014796887031,-0.0011692411624856236,-0.0010690022959414236,0.001412642018858934,-0.0012638758230223424
simple_breakout_signal,2026-05-01 21:50:00+00:00,2026-05-01 21:55:00+00:00,78188.67,trend_down,low_vol,trend_down__low_vol,1,score_0_to_2,0.4739655452357881,buy_agg_lt_55,-5.1373800000000145,1.4007799999999904,,volume_shock_na,0.13656387665198239,0.0006700459286492766,0.0010486174019843642,-0.0004688658855560579,0.0010694644121711505,0.0012354731190593604,-0.0004688658855560579,0.0012014528447663597,0.0016029176605767415,-0.0004688658855560579,0.002106954882337808,0.0028451692553410624,-0.0004688658855560579,-0.0004513441653374306,0.0028451692553410624,-0.0005623576919776552
