signal_name,exit_label,cost_label,trades,win_rate,avg_net_return,median_net_return,total_return,avg_holding_bars,main_exit_reason
downtrend_highvol_forced_cover_signal,fixed_6b,with_cost,19,0.3684210526315789,0.0008197248488444924,-0.0004121777012658694,0.015493134923578955,6.0,fixed_6b_exit
downtrend_highvol_forced_cover_signal,fixed_12b,with_cost,18,0.4444444444444444,0.000337919770339119,-0.0011394141297825003,0.005882439600947809,12.0,fixed_12b_exit
downtrend_normalvol_forced_cover_signal,fixed_12b,with_cost,19,0.47368421052631576,0.00020370683440980327,-0.00020245945750350036,0.0035648983071800977,12.0,fixed_12b_exit
downtrend_forced_cover_signal,fixed_12b,with_cost,44,0.45454545454545453,5.5490036195316024e-05,-0.0009265006315626094,0.0018864689298594417,12.0,fixed_12b_exit
downtrend_highvol_forced_cover_signal,adaptive,with_cost,19,0.21052631578947367,-0.0007115539948540848,-0.0012847351028298696,-0.01350766246114754,3.526315789473684,false_squeeze
downtrend_forced_cover_signal,fixed_6b,with_cost,46,0.34782608695652173,-0.0003170408046874294,-0.0005228211962126965,-0.014973117054605467,6.0,fixed_6b_exit
downtrend_normalvol_forced_cover_signal,fixed_6b,with_cost,20,0.4,-0.0011329396103257276,-0.0005769823642053133,-0.022693276698950937,6.0,fixed_6b_exit
downtrend_normalvol_forced_cover_signal,adaptive,with_cost,20,0.2,-0.0013200596759291741,-0.0013552499353688733,-0.02611932721249377,4.35,false_squeeze
downtrend_forced_cover_signal,adaptive,with_cost,46,0.21739130434782608,-0.0009613618275360062,-0.0013342346447144152,-0.04340407718618955,4.260869565217392,false_squeeze
breakout_forced_cover_signal,fixed_12b,with_cost,209,0.3062200956937799,-0.0010426114943799922,-0.0012035826345056836,-0.19715991313636494,12.0,fixed_12b_exit
breakout_forced_cover_signal,fixed_6b,with_cost,247,0.24696356275303644,-0.0012216611923176243,-0.0012745559668803966,-0.26152328317607765,6.0,fixed_6b_exit
breakout_forced_cover_signal,adaptive,with_cost,259,0.15444015444015444,-0.001311722950549411,-0.001555305804176598,-0.28867222140767435,3.7104247104247103,false_squeeze
