sample_split,signal_name,horizon,events,avg_return,median_return,win_rate,avg_mfe,avg_mae
in_sample,breakout_forced_cover_signal,1b,295,-3.1027524582640836e-06,-7.600621360004389e-05,0.45084745762711864,0.000951864397905661,-0.0008629031332071052
in_sample,breakout_forced_cover_signal,2b,295,9.88092417799643e-05,-6.054815604927821e-05,0.47796610169491527,0.0011817054286126774,-0.0009881051712866123
in_sample,breakout_forced_cover_signal,3b,295,0.00013500011550848074,8.67161699180663e-05,0.5288135593220339,0.0013625615594214996,-0.0011515163335253363
in_sample,breakout_forced_cover_signal,6b,295,4.878159470756888e-05,-0.00012074409589990509,0.48135593220338985,0.001868038005136417,-0.0015937297534105654
in_sample,breakout_forced_cover_signal,12b,295,-6.485943891449023e-05,-0.00017092305441124278,0.4576271186440678,0.0024781411851972643,-0.002248969904943836
in_sample,downtrend_forced_cover_signal,1b,37,0.0004085197240405908,0.0003126559347885749,0.6756756756756757,0.001100963143731039,-0.0005485633660039153
in_sample,downtrend_forced_cover_signal,2b,37,0.0005169688889477928,0.0004273714564089204,0.6756756756756757,0.0014092964614050942,-0.0007016408763718059
in_sample,downtrend_forced_cover_signal,3b,37,0.00037553777834783747,0.00039883081798453013,0.6216216216216216,0.0015171037651405246,-0.0009564416537288789
in_sample,downtrend_forced_cover_signal,6b,37,0.0005248148572099707,0.0008716678501305974,0.6216216216216216,0.0023411647006007716,-0.0014901536470484568
in_sample,downtrend_forced_cover_signal,12b,37,0.0005366428103151529,2.6572318533091277e-05,0.5135135135135135,0.0029504450959688586,-0.002053239951393591
in_sample,downtrend_normalvol_forced_cover_signal,1b,19,0.0003734458399553553,0.00019462179522977685,0.631578947368421,0.0009767833750068693,-0.000640387250684055
in_sample,downtrend_normalvol_forced_cover_signal,2b,19,0.00041409263259880414,9.297625322379766e-05,0.5789473684210527,0.001287850339856777,-0.0007429359486432109
in_sample,downtrend_normalvol_forced_cover_signal,3b,19,-9.435918324652322e-05,-0.00023074888708318753,0.47368421052631576,0.001376176925745934,-0.0012391269361280374
in_sample,downtrend_normalvol_forced_cover_signal,6b,19,-0.00036080227841091343,0.0008716678501305974,0.5263157894736842,0.0018770954653022948,-0.0021015350390859444
in_sample,downtrend_normalvol_forced_cover_signal,12b,19,0.000169494151790064,0.0003120434802026395,0.5789473684210527,0.0025392215480012303,-0.002471950357456661
in_sample,downtrend_highvol_forced_cover_signal,1b,11,0.0004776621328305445,0.00029852229590732193,0.6363636363636364,0.001563858833775189,-0.0005680895246560145
in_sample,downtrend_highvol_forced_cover_signal,2b,11,0.00042929635734075114,0.0006890290037830926,0.7272727272727273,0.001785876284854281,-0.0008545498769811315
in_sample,downtrend_highvol_forced_cover_signal,3b,11,0.000819234327611662,0.0007138713745271641,0.7272727272727273,0.0018590877718010943,-0.0008545498769811315
in_sample,downtrend_highvol_forced_cover_signal,6b,11,0.0022678462807438553,0.0011119362473237526,0.8181818181818182,0.003650966201033859,-0.0011248832879296204
