sample_split,signal_name,horizon,events,avg_return,median_return,win_rate,avg_mfe,avg_mae
in_sample,downtrend_highvol_forced_cover_signal,1b,11,0.0004776621328305445,0.00029852229590732193,0.6363636363636364,0.001563858833775189,-0.0005680895246560145
in_sample,downtrend_highvol_forced_cover_signal,2b,11,0.00042929635734075114,0.0006890290037830926,0.7272727272727273,0.001785876284854281,-0.0008545498769811315
in_sample,downtrend_highvol_forced_cover_signal,3b,11,0.000819234327611662,0.0007138713745271641,0.7272727272727273,0.0018590877718010943,-0.0008545498769811315
in_sample,downtrend_highvol_forced_cover_signal,6b,11,0.0022678462807438553,0.0011119362473237526,0.8181818181818182,0.003650966201033859,-0.0011248832879296204
in_sample,downtrend_highvol_forced_cover_signal,12b,11,0.001912966995666232,2.6572318533091277e-05,0.5454545454545454,0.004221780206368148,-0.0014489236500369546
out_of_sample,downtrend_highvol_forced_cover_signal,1b,18,0.0009368336373559963,3.061532905823672e-05,0.5,0.001895641075833226,-0.0009574805965433191
out_of_sample,downtrend_highvol_forced_cover_signal,2b,18,0.001114329676908468,-0.0001230159006932463,0.4444444444444444,0.0021517814851136473,-0.0012131342437964692
out_of_sample,downtrend_highvol_forced_cover_signal,3b,18,0.0008925287044609438,0.00019271400438586328,0.5,0.0023909841034596147,-0.0014818412863196184
out_of_sample,downtrend_highvol_forced_cover_signal,6b,18,0.0008039635402477849,-0.0005904030159952223,0.4444444444444444,0.003108934437496195,-0.0019883584429872753
out_of_sample,downtrend_highvol_forced_cover_signal,12b,18,-0.0008427393833856686,-0.001775782983832408,0.3333333333333333,0.00334460451178341,-0.0033780757707555817
