sample_split,signal_name,exit_label,cost_label,trades,win_rate,avg_net_return,median_net_return,total_return,avg_holding_bars,main_exit_reason
out_of_sample,downtrend_forced_cover_signal,fixed_12b,no_cost,18,0.6666666666666666,0.002224197836449387,0.001804228286914178,0.040472930211562064,12.0,fixed_12b_exit
out_of_sample,downtrend_normalvol_forced_cover_signal,adaptive,with_cost,7,0.14285714285714285,-0.0017103315941421585,-0.001371977855139627,-0.011919666971031084,2.7142857142857144,false_squeeze
out_of_sample,downtrend_normalvol_forced_cover_signal,adaptive,no_cost,7,0.42857142857142855,-0.0005106157836177104,-0.00017212667604593612,-0.003577499489924474,2.7142857142857144,false_squeeze
out_of_sample,downtrend_normalvol_forced_cover_signal,fixed_6b,with_cost,7,0.5714285714285714,0.001076765223731496,0.0002580050484787495,0.007505342159498385,6.0,fixed_6b_exit
out_of_sample,downtrend_normalvol_forced_cover_signal,fixed_6b,no_cost,7,0.8571428571428571,0.002277596095995395,0.0014585083511586827,0.015995732727394962,6.0,fixed_6b_exit
out_of_sample,downtrend_normalvol_forced_cover_signal,fixed_12b,with_cost,7,0.7142857142857143,0.0029748787684191675,0.0008049595070795064,0.020819883048235344,12.0,fixed_12b_exit
out_of_sample,downtrend_normalvol_forced_cover_signal,fixed_12b,no_cost,7,0.8571428571428571,0.004176469037980428,0.00200568163530801,0.029411801745076627,12.0,fixed_12b_exit
out_of_sample,downtrend_highvol_forced_cover_signal,adaptive,with_cost,10,0.2,-0.0007140224057879278,-0.0013690365452806766,-0.0071726022682393475,2.5,false_squeeze
out_of_sample,downtrend_highvol_forced_cover_signal,adaptive,no_cost,10,0.4,0.0004661920081324711,-0.00016918418942774016,0.00461478883727251,2.5,false_squeeze
out_of_sample,downtrend_highvol_forced_cover_signal,fixed_6b,with_cost,10,0.4,0.0006181904950317679,-0.0008199607879631802,0.00609012430953082,6.0,fixed_6b_exit
out_of_sample,downtrend_highvol_forced_cover_signal,fixed_6b,no_cost,10,0.6,0.0018188379007108568,0.00038011124212766756,0.018227825747530124,6.0,fixed_6b_exit
out_of_sample,downtrend_highvol_forced_cover_signal,fixed_12b,with_cost,10,0.4,-0.000501153835656664,-0.00197188488123493,-0.005102714926719432,12.0,fixed_12b_exit
out_of_sample,downtrend_highvol_forced_cover_signal,fixed_12b,no_cost,10,0.5,0.000699045742724691,-0.0007722737129539081,0.006908953602865253,12.0,fixed_12b_exit
