signal_name,exit_label,cost_label,trades,win_rate,avg_net_return,median_net_return,total_return,avg_holding_bars,main_exit_reason
early_squeeze_candidate_signal,fixed_6b,with_cost,259,0.23552123552123552,-0.0009860197676972223,-0.0010592931791224328,-0.2259464553128795,6.0,fixed_6b_exit
early_squeeze_candidate_signal,fixed_12b,with_cost,219,0.3059360730593607,-0.0011206546923842645,-0.0011536172336787712,-0.2184250250971188,12.0,fixed_12b_exit
current_short_squeeze_signal,fixed_12b,with_cost,151,0.2980132450331126,-0.0011519314216845776,-0.0013077569237599277,-0.1607043736086735,12.0,fixed_12b_exit
early_squeeze_candidate_signal,adaptive,with_cost,305,0.14098360655737704,-0.0012180817461596538,-0.0013301923159730659,-0.3107302044258061,3.00327868852459,false_squeeze
current_short_squeeze_signal,fixed_6b,with_cost,164,0.25,-0.0012290724943531692,-0.0012351356527695915,-0.18330013845613014,6.0,fixed_6b_exit
current_short_squeeze_signal,adaptive,with_cost,170,0.14705882352941177,-0.0012703202514283017,-0.001510834642118685,-0.19467373760232698,3.7470588235294118,false_squeeze
trend_filtered_short_squeeze_signal,adaptive,with_cost,108,0.1388888888888889,-0.0013624086484005941,-0.0016102156452596265,-0.1370724271479834,3.5277777777777777,false_squeeze
trend_filtered_short_squeeze_signal,fixed_12b,with_cost,97,0.24742268041237114,-0.001506211446874735,-0.0013794997517415412,-0.1364496188055514,12.0,fixed_12b_exit
trend_filtered_short_squeeze_signal,fixed_6b,with_cost,105,0.20952380952380953,-0.001540491640992315,-0.0014498255026751164,-0.14967942212424146,6.0,fixed_6b_exit
