sample_split,holding_bars,holding_minutes,base_cost,high_cost,low_cost,no_cost
in_sample,3,15,-0.0003713797375326614,-0.000971445467016073,0.0002287260010957917,0.0008288717608719631
in_sample,6,30,0.0010436519086364083,0.00044330320110455644,0.0016440406819032503,0.0022444695329246877
in_sample,9,45,0.0014314177611729712,0.0008309915082205174,0.002031884095367973,0.0026323905228297223
in_sample,12,60,0.001386761777833848,0.0007863444551855711,0.0019872191799387958,0.0025877166735241153
in_sample,18,90,0.001797473688427929,0.001196974231606078,0.0023980132411317552,0.002998592901745964
in_sample,24,120,0.0013453074138107903,0.0007448983812067753,0.0019457565242135518,0.002546245724438373
out_of_sample,3,15,0.0004861163913094109,-0.00011412082026196341,0.0010863936463186845,0.0016867109567789474
out_of_sample,6,30,0.0006181904950317679,1.792687127931819e-05,0.0012184941675040587,0.0018188379007108568
out_of_sample,9,45,-0.0005180064717717475,-0.0011180428788388971,8.206993857641257e-05,0.0006821863642066716
out_of_sample,12,60,-0.000501153835656664,-0.0011011936129142071,9.892594555590567e-05,0.000699045742724691
out_of_sample,18,90,-0.001227214606706139,-0.0018271091863205399,-0.0006272800521733731,-2.730551072968046e-05
out_of_sample,24,120,-0.0009762653147088017,-0.0015762100791661502,-0.00037628056529713744,0.0002237441810644114
