sample_split,signal_name,true_count,sample_size,signal_rate
in_sample,downtrend_highvol_forced_cover_signal,11,7200,0.0015277777777777779
out_of_sample,downtrend_highvol_forced_cover_signal,18,3653,0.004927456884752259
