open_time,close,sample_split,trend_regime,volatility_regime,forced_cover_score,buy_aggression_ratio_15m,cvd_slope_15m,volume_shock_15m,vol_percentile,downtrend_highvol_forced_cover_signal
2026-03-18 17:20:00+00:00,71490.0,in_sample,trend_down,high_vol,3,0.6426335822303931,18.155320000000003,0.7696589434021915,0.7430555555555556,True
2026-03-18 17:35:00+00:00,71700.03,in_sample,trend_down,high_vol,3,0.5803638625767601,44.17163000000001,1.4101678771269113,0.7395833333333334,True
2026-03-19 13:45:00+00:00,69870.7,in_sample,trend_down,high_vol,4,0.5487074146393739,6.243870000000015,1.7186516322277843,0.7881944444444444,True
2026-03-20 17:55:00+00:00,70000.0,in_sample,trend_down,high_vol,4,0.6546879707265746,50.52185999999999,1.3654564571781613,0.7118055555555556,True
2026-03-22 03:25:00+00:00,69440.44,in_sample,trend_down,high_vol,3,0.5062472786972226,-59.89598000000001,1.717621730602207,0.8576388888888888,True
2026-03-22 22:05:00+00:00,68121.77,in_sample,trend_down,high_vol,5,0.6396708687560277,51.98758000000002,1.522187034358143,0.8715277777777778,True
2026-03-22 22:20:00+00:00,68224.88,in_sample,trend_down,high_vol,5,0.6669888900417223,2.836159999999964,1.7974822779512496,0.875,True
2026-03-24 15:20:00+00:00,70213.07,in_sample,trend_down,high_vol,4,0.5854448515896512,150.12989,2.2546895335196604,0.9131944444444444,True
2026-03-24 18:30:00+00:00,69507.85,in_sample,trend_down,high_vol,3,0.5780427673387833,19.302,1.2374270072691547,0.8090277777777778,True
2026-03-26 19:20:00+00:00,68549.37,in_sample,trend_down,high_vol,3,0.6980821535904654,8.794540000000005,0.5323758896125823,0.7118055555555556,True
2026-03-27 15:30:00+00:00,66525.23,in_sample,trend_down,high_vol,4,0.571288405575657,98.51559,2.4584204255561444,0.7569444444444444,True
2026-03-29 01:00:00+00:00,66529.4,in_sample,trend_down,high_vol,3,0.6370355727908412,10.801650000000006,0.63916918814725,0.8263888888888888,True
