sample_split,rows,start_time,end_time
in_sample,7200,2026-05-01 00:00:00+00:00,2026-05-25 23:55:00+00:00
out_of_sample,3653,2026-05-26 00:00:00+00:00,2026-06-07 16:20:00+00:00
